portfolio_id,case_id,company_id,borrower_name,sector,project_sector,scenario_type,trend_type,lender_type,portfolio_category,secured_unsecured,retail_corporate,portfolio_outstanding_inr,portfolio_share_pct,gross_npa_pct,net_npa_pct,npa_trend_qoq_ppts,write_off_ratio_pct,company_gross_npa_pct,company_net_npa_pct,restructured_assets_pct,provisioning_coverage_ratio,credit_cost_pct,top_10_borrower_concentration_pct,top_5_sector_concentration_pct,return_on_assets_pct,net_interest_margin_pct,capital_adequacy_ratio_pct,vintage_2020_npa_pct,vintage_2021_npa_pct,vintage_2022_npa_pct,vintage_2023_npa_pct,vintage_2024_npa_pct,feeds_capacity,feeds_capital,feeds_conditions,feeds_character,data_as_of_date,reporting_period,source_document_id,extraction_confidence,risk_flags
PORT_CAM_00003_04,CAM_00003,COMP_00003,360 ONE WAM LIMITED,Financial Services,NBFC,normal,stable,nbfc_retail,vehicle_finance,secured,corporate,3808744926.44,17.1,3.76,1.15,-0.44,0.26,3.74,1.15,1.85,69.3,1.18,15.1,51.0,2.85,7.28,22.0,5.79,5.79,3.38,2.26,0.75,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00003,high,none
PORT_CAM_00003_05,CAM_00003,COMP_00003,360 ONE WAM LIMITED,Financial Services,NBFC,normal,stable,nbfc_retail,gold_loan,secured,retail,2248305262.08,10.1,1.68,0.52,-0.39,0.52,3.74,1.15,1.85,69.3,1.18,15.1,51.0,2.85,7.28,22.0,2.59,2.59,1.51,1.01,0.34,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00003,medium,none
PORT_CAM_00003_06,CAM_00003,COMP_00003,360 ONE WAM LIMITED,Financial Services,NBFC,normal,stable,nbfc_retail,personal_loan,unsecured,retail,1799454648.71,8.1,4.24,1.3,-0.23,1.69,3.74,1.15,1.85,69.3,1.18,15.1,51.0,2.85,7.28,22.0,6.53,6.53,3.82,2.54,0.85,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00003,medium,none
PORT_CAM_00003_07,CAM_00003,COMP_00003,360 ONE WAM LIMITED,Financial Services,NBFC,normal,stable,nbfc_retail,microfinance,unsecured,retail,1097550227.13,4.9,5.84,1.79,-0.11,2.21,3.74,1.15,1.85,69.3,1.18,15.1,51.0,2.85,7.28,22.0,8.99,8.99,5.26,3.5,1.17,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00003,medium,none
PORT_CAM_00006_01,CAM_00006,COMP_00006,5Paisa Capital Limited,Financial Services,NBFC,normal,stable,nbfc_retail,secured_retail,secured,retail,4066979642.95,22.0,4.25,0.71,0.15,1.52,5.02,0.84,1.22,83.3,0.93,12.1,41.1,2.42,6.0,19.9,6.54,6.54,3.83,2.55,0.85,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00006,high,none
PORT_CAM_00006_02,CAM_00006,COMP_00006,5Paisa Capital Limited,Financial Services,NBFC,normal,stable,nbfc_retail,unsecured_retail,unsecured,retail,3913057966.89,21.1,6.1,1.02,-0.33,1.47,5.02,0.84,1.22,83.3,0.93,12.1,41.1,2.42,6.0,19.9,9.39,9.39,5.49,3.66,1.22,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00006,high,none
PORT_CAM_00006_03,CAM_00006,COMP_00006,5Paisa Capital Limited,Financial Services,NBFC,normal,stable,nbfc_retail,msme,unsecured,corporate,3066605379.11,16.6,5.16,0.86,-0.16,0.33,5.02,0.84,1.22,83.3,0.93,12.1,41.1,2.42,6.0,19.9,7.95,7.95,4.64,3.1,1.03,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00006,medium,none
PORT_CAM_00006_04,CAM_00006,COMP_00006,5Paisa Capital Limited,Financial Services,NBFC,normal,stable,nbfc_retail,vehicle_finance,secured,corporate,2560846816.12,13.8,5.45,0.91,-0.41,1.14,5.02,0.84,1.22,83.3,0.93,12.1,41.1,2.42,6.0,19.9,8.39,8.39,4.91,3.27,1.09,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00006,medium,none
PORT_CAM_00006_05,CAM_00006,COMP_00006,5Paisa Capital Limited,Financial Services,NBFC,normal,stable,nbfc_retail,gold_loan,secured,retail,1821961259.89,9.8,2.98,0.5,-0.13,0.8,5.02,0.84,1.22,83.3,0.93,12.1,41.1,2.42,6.0,19.9,4.59,4.59,2.68,1.79,0.6,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00006,high,none
PORT_CAM_00006_06,CAM_00006,COMP_00006,5Paisa Capital Limited,Financial Services,NBFC,normal,stable,nbfc_retail,personal_loan,unsecured,retail,1693822291.27,9.2,6.91,1.15,0.03,1.97,5.02,0.84,1.22,83.3,0.93,12.1,41.1,2.42,6.0,19.9,10.64,10.64,6.22,4.15,1.38,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00006,medium,none
PORT_CAM_00006_07,CAM_00006,COMP_00006,5Paisa Capital Limited,Financial Services,NBFC,normal,stable,nbfc_retail,microfinance,unsecured,retail,1384083190.65,7.5,7.22,1.21,0.2,1.95,5.02,0.84,1.22,83.3,0.93,12.1,41.1,2.42,6.0,19.9,11.12,11.12,6.5,4.33,1.44,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00006,high,none
PORT_CAM_00010_01,CAM_00010,COMP_00010,Aadhar Housing Finance Limited,Financial Services,NBFC,normal,growing,nbfc_retail,secured_retail,secured,retail,4514028676.39,20.3,5.12,1.05,-0.21,1.8,5.35,1.1,0.71,79.5,1.08,13.9,70.3,2.14,6.57,23.9,7.88,7.88,4.61,3.07,1.02,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00010,high,none
PORT_CAM_00010_02,CAM_00010,COMP_00010,Aadhar Housing Finance Limited,Financial Services,NBFC,normal,growing,nbfc_retail,unsecured_retail,unsecured,retail,4360894525.17,19.6,7.13,1.46,0.19,0.46,5.35,1.1,0.71,79.5,1.08,13.9,70.3,2.14,6.57,23.9,10.98,10.98,6.42,4.28,1.43,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00010,high,none
PORT_CAM_00010_03,CAM_00010,COMP_00010,Aadhar Housing Finance Limited,Financial Services,NBFC,normal,growing,nbfc_retail,msme,unsecured,corporate,4185387835.95,18.8,6.52,1.34,0.06,0.46,5.35,1.1,0.71,79.5,1.08,13.9,70.3,2.14,6.57,23.9,10.04,10.04,5.87,3.91,1.3,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00010,high,none
PORT_CAM_00010_04,CAM_00010,COMP_00010,Aadhar Housing Finance Limited,Financial Services,NBFC,normal,growing,nbfc_retail,vehicle_finance,secured,corporate,3238987428.47,14.5,4.85,0.99,-0.19,0.93,5.35,1.1,0.71,79.5,1.08,13.9,70.3,2.14,6.57,23.9,7.47,7.47,4.37,2.91,0.97,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00010,high,none
PORT_CAM_00010_05,CAM_00010,COMP_00010,Aadhar Housing Finance Limited,Financial Services,NBFC,normal,growing,nbfc_retail,gold_loan,secured,retail,2921754533.73,13.1,3.79,0.78,0.11,0.3,5.35,1.1,0.71,79.5,1.08,13.9,70.3,2.14,6.57,23.9,5.84,5.84,3.41,2.27,0.76,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00010,medium,none
PORT_CAM_00010_06,CAM_00010,COMP_00010,Aadhar Housing Finance Limited,Financial Services,NBFC,normal,growing,nbfc_retail,personal_loan,unsecured,retail,1632842728.0,7.3,5.91,1.21,-0.04,1.37,5.35,1.1,0.71,79.5,1.08,13.9,70.3,2.14,6.57,23.9,9.1,9.1,5.32,3.55,1.18,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00010,high,none
PORT_CAM_00010_07,CAM_00010,COMP_00010,Aadhar Housing Finance Limited,Financial Services,NBFC,normal,growing,nbfc_retail,microfinance,unsecured,retail,1413090882.84,6.3,8.6,1.76,0.15,2.58,5.35,1.1,0.71,79.5,1.08,13.9,70.3,2.14,6.57,23.9,13.24,13.24,7.74,5.16,1.72,True,True,True,True,2025-02-28,FY2024,PORT_DOC_CAM_00010,high,high_gnpa_segment
PORT_CAM_00020_01,CAM_00020,COMP_00020,Aavas Financiers Limited,Financial Services,NBFC,normal,growing,nbfc_retail,secured_retail,secured,retail,5850134434.36,19.0,2.91,0.9,-0.14,1.02,3.62,1.11,0.83,69.2,0.91,3.9,64.4,2.3,11.52,22.4,4.48,4.48,2.62,1.75,0.58,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00020,high,none
PORT_CAM_00020_02,CAM_00020,COMP_00020,Aavas Financiers Limited,Financial Services,NBFC,normal,growing,nbfc_retail,unsecured_retail,unsecured,retail,5535686561.95,18.0,5.27,1.62,-0.03,0.65,3.62,1.11,0.83,69.2,0.91,3.9,64.4,2.3,11.52,22.4,8.12,8.12,4.74,3.16,1.05,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00020,high,none
PORT_CAM_00020_03,CAM_00020,COMP_00020,Aavas Financiers Limited,Financial Services,NBFC,normal,growing,nbfc_retail,msme,unsecured,corporate,5333929258.81,17.4,5.13,1.58,-0.1,1.27,3.62,1.11,0.83,69.2,0.91,3.9,64.4,2.3,11.52,22.4,7.9,7.9,4.62,3.08,1.03,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00020,high,none
PORT_CAM_00020_04,CAM_00020,COMP_00020,Aavas Financiers Limited,Financial Services,NBFC,normal,growing,nbfc_retail,vehicle_finance,secured,corporate,5127374718.23,16.7,3.81,1.17,-0.21,0.97,3.62,1.11,0.83,69.2,0.91,3.9,64.4,2.3,11.52,22.4,5.87,5.87,3.43,2.29,0.76,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00020,medium,none
PORT_CAM_00020_05,CAM_00020,COMP_00020,Aavas Financiers Limited,Financial Services,NBFC,normal,growing,nbfc_retail,gold_loan,secured,retail,4085089719.34,13.3,1.83,0.56,-0.32,0.56,3.62,1.11,0.83,69.2,0.91,3.9,64.4,2.3,11.52,22.4,2.82,2.82,1.65,1.1,0.37,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00020,high,none
PORT_CAM_00020_06,CAM_00020,COMP_00020,Aavas Financiers Limited,Financial Services,NBFC,normal,growing,nbfc_retail,personal_loan,unsecured,retail,2484952215.74,8.1,4.4,1.36,-0.22,1.25,3.62,1.11,0.83,69.2,0.91,3.9,64.4,2.3,11.52,22.4,6.78,6.78,3.96,2.64,0.88,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00020,high,none
PORT_CAM_00020_07,CAM_00020,COMP_00020,Aavas Financiers Limited,Financial Services,NBFC,normal,growing,nbfc_retail,microfinance,unsecured,retail,2319548683.89,7.5,6.05,1.86,0.15,2.28,3.62,1.11,0.83,69.2,0.91,3.9,64.4,2.3,11.52,22.4,9.32,9.32,5.45,3.63,1.21,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00020,high,none
PORT_CAM_00024_01,CAM_00024,COMP_00024,Aditya Birla Capital Limited,Financial Services,NBFC,normal,stable,nbfc_retail,secured_retail,secured,retail,17647028877.49,22.2,3.74,0.7,-0.08,1.13,4.1,0.77,1.9,81.3,0.65,15.3,47.0,1.47,6.64,22.6,5.76,5.76,3.37,2.24,0.75,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00024,high,none
PORT_CAM_00024_02,CAM_00024,COMP_00024,Aditya Birla Capital Limited,Financial Services,NBFC,normal,stable,nbfc_retail,unsecured_retail,unsecured,retail,15365582062.46,19.3,5.9,1.1,0.1,1.29,4.1,0.77,1.9,81.3,0.65,15.3,47.0,1.47,6.64,22.6,9.09,9.09,5.31,3.54,1.18,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00024,high,none
PORT_CAM_00024_03,CAM_00024,COMP_00024,Aditya Birla Capital Limited,Financial Services,NBFC,normal,stable,nbfc_retail,msme,unsecured,corporate,13430214873.91,16.9,5.55,1.04,0.09,0.39,4.1,0.77,1.9,81.3,0.65,15.3,47.0,1.47,6.64,22.6,8.55,8.55,5.0,3.33,1.11,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00024,high,none
PORT_CAM_00024_04,CAM_00024,COMP_00024,Aditya Birla Capital Limited,Financial Services,NBFC,normal,stable,nbfc_retail,vehicle_finance,secured,corporate,12693501554.98,15.9,4.63,0.87,-0.47,0.75,4.1,0.77,1.9,81.3,0.65,15.3,47.0,1.47,6.64,22.6,7.13,7.13,4.17,2.78,0.93,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00024,high,none
PORT_CAM_00024_05,CAM_00024,COMP_00024,Aditya Birla Capital Limited,Financial Services,NBFC,normal,stable,nbfc_retail,gold_loan,secured,retail,12064775998.72,15.2,2.82,0.53,-0.32,0.89,4.1,0.77,1.9,81.3,0.65,15.3,47.0,1.47,6.64,22.6,4.34,4.34,2.54,1.69,0.56,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00024,medium,none
PORT_CAM_00024_06,CAM_00024,COMP_00024,Aditya Birla Capital Limited,Financial Services,NBFC,normal,stable,nbfc_retail,personal_loan,unsecured,retail,5317547897.57,6.7,5.63,1.05,-0.11,0.43,4.1,0.77,1.9,81.3,0.65,15.3,47.0,1.47,6.64,22.6,8.67,8.67,5.07,3.38,1.13,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00024,medium,none
PORT_CAM_00024_07,CAM_00024,COMP_00024,Aditya Birla Capital Limited,Financial Services,NBFC,normal,stable,nbfc_retail,microfinance,unsecured,retail,3089082072.99,3.9,7.25,1.36,-0.12,2.45,4.1,0.77,1.9,81.3,0.65,15.3,47.0,1.47,6.64,22.6,11.17,11.17,6.53,4.35,1.45,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00024,medium,none
PORT_CAM_00032_01,CAM_00032,COMP_00032,Aditya Birla Sun Life AMC Limited,Financial Services,NBFC,normal,declining,nbfc_retail,secured_retail,secured,retail,14763441001.72,19.3,6.01,2.19,0.85,0.55,5.63,2.05,0.6,63.6,2.4,5.4,67.0,3.0,8.47,24.0,9.26,9.26,5.41,3.61,1.2,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00032,medium,none
PORT_CAM_00032_02,CAM_00032,COMP_00032,Aditya Birla Sun Life AMC Limited,Financial Services,NBFC,normal,declining,nbfc_retail,unsecured_retail,unsecured,retail,14158820565.26,18.5,6.5,2.37,2.22,2.26,5.63,2.05,0.6,63.6,2.4,5.4,67.0,3.0,8.47,24.0,10.01,10.01,5.85,3.9,1.3,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00032,high,npa_deteriorating_rapidly
PORT_CAM_00032_03,CAM_00032,COMP_00032,Aditya Birla Sun Life AMC Limited,Financial Services,NBFC,normal,declining,nbfc_retail,msme,unsecured,corporate,13516746858.22,17.7,5.95,2.17,2.32,0.96,5.63,2.05,0.6,63.6,2.4,5.4,67.0,3.0,8.47,24.0,9.16,9.16,5.36,3.57,1.19,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00032,high,npa_deteriorating_rapidly
PORT_CAM_00032_04,CAM_00032,COMP_00032,Aditya Birla Sun Life AMC Limited,Financial Services,NBFC,normal,declining,nbfc_retail,vehicle_finance,secured,corporate,11941654952.3,15.6,5.19,1.89,1.75,0.95,5.63,2.05,0.6,63.6,2.4,5.4,67.0,3.0,8.47,24.0,7.99,7.99,4.67,3.11,1.04,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00032,high,npa_deteriorating_rapidly
PORT_CAM_00032_05,CAM_00032,COMP_00032,Aditya Birla Sun Life AMC Limited,Financial Services,NBFC,normal,declining,nbfc_retail,gold_loan,secured,retail,9557115073.66,12.5,4.71,1.71,2.43,0.67,5.63,2.05,0.6,63.6,2.4,5.4,67.0,3.0,8.47,24.0,7.25,7.25,4.24,2.83,0.94,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00032,medium,npa_deteriorating_rapidly
PORT_CAM_00032_06,CAM_00032,COMP_00032,Aditya Birla Sun Life AMC Limited,Financial Services,NBFC,normal,declining,nbfc_retail,personal_loan,unsecured,retail,6963659944.62,9.1,6.85,2.49,1.79,2.34,5.63,2.05,0.6,63.6,2.4,5.4,67.0,3.0,8.47,24.0,10.55,10.55,6.17,4.11,1.37,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00032,high,npa_deteriorating_rapidly
PORT_CAM_00032_07,CAM_00032,COMP_00032,Aditya Birla Sun Life AMC Limited,Financial Services,NBFC,normal,declining,nbfc_retail,microfinance,unsecured,retail,5492879942.68,7.2,8.83,3.21,0.55,2.92,5.63,2.05,0.6,63.6,2.4,5.4,67.0,3.0,8.47,24.0,13.6,13.6,7.95,5.3,1.77,True,True,True,True,2025-02-28,FY2024,PORT_DOC_CAM_00032,high,high_gnpa_segment
PORT_CAM_00067_01,CAM_00067,COMP_00067,Akme Fintrade (India) Limited,Financial Services,NBFC,normal,declining,nbfc_retail,secured_retail,secured,retail,4102564053.96,22.7,5.74,2.01,1.77,0.88,5.73,2.01,1.87,65.0,2.1,14.1,42.9,2.73,6.75,26.8,8.84,8.84,5.17,3.44,1.15,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00067,medium,npa_deteriorating_rapidly
PORT_CAM_00067_02,CAM_00067,COMP_00067,Akme Fintrade (India) Limited,Financial Services,NBFC,normal,declining,nbfc_retail,unsecured_retail,unsecured,retail,3621335497.12,20.0,6.9,2.42,0.58,1.28,5.73,2.01,1.87,65.0,2.1,14.1,42.9,2.73,6.75,26.8,10.63,10.63,6.21,4.14,1.38,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00067,high,none
PORT_CAM_00067_03,CAM_00067,COMP_00067,Akme Fintrade (India) Limited,Financial Services,NBFC,normal,declining,nbfc_retail,msme,unsecured,corporate,3190832174.47,17.7,6.81,2.38,2.29,1.75,5.73,2.01,1.87,65.0,2.1,14.1,42.9,2.73,6.75,26.8,10.49,10.49,6.13,4.09,1.36,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00067,high,npa_deteriorating_rapidly
PORT_CAM_00067_04,CAM_00067,COMP_00067,Akme Fintrade (India) Limited,Financial Services,NBFC,normal,declining,nbfc_retail,vehicle_finance,secured,corporate,2590208602.65,14.3,5.58,1.95,2.13,0.82,5.73,2.01,1.87,65.0,2.1,14.1,42.9,2.73,6.75,26.8,8.59,8.59,5.02,3.35,1.12,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00067,high,npa_deteriorating_rapidly
PORT_CAM_00067_05,CAM_00067,COMP_00067,Akme Fintrade (India) Limited,Financial Services,NBFC,normal,declining,nbfc_retail,gold_loan,secured,retail,2288477678.95,12.7,4.12,1.44,1.58,1.15,5.73,2.01,1.87,65.0,2.1,14.1,42.9,2.73,6.75,26.8,6.34,6.34,3.71,2.47,0.82,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00067,high,npa_deteriorating_rapidly
PORT_CAM_00067_06,CAM_00067,COMP_00067,Akme Fintrade (India) Limited,Financial Services,NBFC,normal,declining,nbfc_retail,personal_loan,unsecured,retail,1403468313.46,7.8,6.84,2.39,1.79,1.5,5.73,2.01,1.87,65.0,2.1,14.1,42.9,2.73,6.75,26.8,10.53,10.53,6.16,4.1,1.37,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00067,medium,npa_deteriorating_rapidly
PORT_CAM_00067_07,CAM_00067,COMP_00067,Akme Fintrade (India) Limited,Financial Services,NBFC,normal,declining,nbfc_retail,microfinance,unsecured,retail,879280747.18,4.9,7.7,2.69,0.49,1.64,5.73,2.01,1.87,65.0,2.1,14.1,42.9,2.73,6.75,26.8,11.86,11.86,6.93,4.62,1.54,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00067,medium,none
PORT_CAM_00068_01,CAM_00068,COMP_00068,Abans Financial Services Limited,Financial Services,NBFC,moderate_anomaly,stable,nbfc_retail,secured_retail,secured,retail,10361178498.0,19.4,7.78,2.11,-0.17,1.76,7.47,2.02,4.51,72.9,2.34,5.2,62.5,1.51,7.31,18.6,15.58,15.58,9.1,6.07,2.02,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00068,high,none
PORT_CAM_00068_02,CAM_00068,COMP_00068,Abans Financial Services Limited,Financial Services,NBFC,moderate_anomaly,stable,nbfc_retail,unsecured_retail,unsecured,retail,9238882162.25,17.3,8.9,2.41,0.06,2.07,7.47,2.02,4.51,72.9,2.34,5.2,62.5,1.51,7.31,18.6,17.82,17.82,10.41,6.94,2.31,True,True,True,True,2025-02-28,FY2024,PORT_DOC_CAM_00068,medium,high_gnpa_segment
PORT_CAM_00068_03,CAM_00068,COMP_00068,Abans Financial Services Limited,Financial Services,NBFC,moderate_anomaly,stable,nbfc_retail,msme,unsecured,corporate,8760540106.96,16.4,8.42,2.28,0.17,2.7,7.47,2.02,4.51,72.9,2.34,5.2,62.5,1.51,7.31,18.6,16.86,16.86,9.85,6.57,2.19,True,True,True,True,2025-02-28,FY2024,PORT_DOC_CAM_00068,medium,high_gnpa_segment
PORT_CAM_00068_04,CAM_00068,COMP_00068,Abans Financial Services Limited,Financial Services,NBFC,moderate_anomaly,stable,nbfc_retail,vehicle_finance,secured,corporate,7399495015.33,13.9,7.97,2.16,0.12,1.39,7.47,2.02,4.51,72.9,2.34,5.2,62.5,1.51,7.31,18.6,15.96,15.96,9.32,6.22,2.07,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00068,medium,none
PORT_CAM_00068_05,CAM_00068,COMP_00068,Abans Financial Services Limited,Financial Services,NBFC,moderate_anomaly,stable,nbfc_retail,gold_loan,secured,retail,6252327726.34,11.7,5.88,1.59,-0.39,2.05,7.47,2.02,4.51,72.9,2.34,5.2,62.5,1.51,7.31,18.6,11.77,11.77,6.88,4.59,1.53,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00068,high,none
PORT_CAM_00068_06,CAM_00068,COMP_00068,Abans Financial Services Limited,Financial Services,NBFC,moderate_anomaly,stable,nbfc_retail,personal_loan,unsecured,retail,5720374933.7,10.7,8.28,2.24,-0.33,1.99,7.47,2.02,4.51,72.9,2.34,5.2,62.5,1.51,7.31,18.6,16.58,16.58,9.69,6.46,2.15,True,True,True,True,2025-02-28,FY2024,PORT_DOC_CAM_00068,medium,high_gnpa_segment
PORT_CAM_00068_07,CAM_00068,COMP_00068,Abans Financial Services Limited,Financial Services,NBFC,moderate_anomaly,stable,nbfc_retail,microfinance,unsecured,retail,5570849392.21,10.5,9.95,2.7,-0.33,1.43,7.47,2.02,4.51,72.9,2.34,5.2,62.5,1.51,7.31,18.6,19.92,19.92,11.64,7.76,2.59,True,True,True,True,2025-02-28,FY2024,PORT_DOC_CAM_00068,medium,high_gnpa_segment
