case_id,total_signals,critical_count,high_count,medium_count,total_score_impact,velocity_signals,triangulation_signals,sentiment_signals,contagion_signals,primary_c_affected,company_id,sector
CAM_00076,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00076,Healthcare
CAM_00077,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00077,Industrials
CAM_00078,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00078,Consumer Cyclical
CAM_00079,4,1,2,0,0.0,1,2,0,1,Character,COMP_00079,Industrials
CAM_00080,4,1,2,0,0.0,1,2,0,1,Character,COMP_00080,Industrials
CAM_00081,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00081,Financial Services
CAM_00082,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00082,Technology
CAM_00083,4,1,2,0,0.0,1,2,0,1,Character,COMP_00083,Consumer Cyclical
CAM_00084,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00084,Healthcare
CAM_00085,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00085,Industrials
CAM_00086,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00086,Real Estate
CAM_00087,4,1,2,0,0.0,1,2,0,1,Character,COMP_00087,Consumer Defensive
CAM_00088,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00088,Industrials
CAM_00089,4,1,2,0,0.0,1,2,0,1,Character,COMP_00089,Industrials
CAM_00090,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00090,Consumer Cyclical
CAM_00091,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00091,Consumer Cyclical
CAM_00092,4,1,2,0,0.0,1,2,0,1,Character,COMP_00092,Basic Materials
CAM_00093,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00093,Technology
CAM_00094,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00094,Healthcare
CAM_00095,4,1,2,0,0.0,1,2,0,1,Character,COMP_00095,Basic Materials
CAM_00096,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00096,Technology
CAM_00097,4,1,2,0,0.0,1,2,0,1,Character,COMP_00097,Healthcare
CAM_00098,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00098,Real Estate
CAM_00099,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00099,Financial Services
CAM_00100,4,1,2,0,0.0,1,2,0,1,Character,COMP_00100,Industrials
CAM_00101,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00101,Healthcare
CAM_00102,4,1,2,0,0.0,1,2,0,1,Character,COMP_00102,Basic Materials
CAM_00103,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00103,Healthcare
CAM_00104,4,1,2,0,0.0,1,2,0,1,Character,COMP_00104,Basic Materials
CAM_00105,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00105,Industrials
CAM_00106,4,1,2,0,0.0,1,2,0,1,Character,COMP_00106,Industrials
CAM_00107,4,1,2,0,0.0,1,2,0,1,Character,COMP_00107,Consumer Defensive
CAM_00108,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00108,Financial Services
CAM_00109,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00109,Consumer Cyclical
CAM_00110,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00110,Healthcare
CAM_00111,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00111,Energy
CAM_00112,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00112,Technology
CAM_00113,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00113,Healthcare
CAM_00114,2,1,1,0,0.5,0,1,0,1,Character,COMP_00114,Consumer Cyclical
CAM_00115,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00115,Consumer Defensive
CAM_00116,4,1,2,0,0.0,1,2,0,1,Character,COMP_00116,Consumer Cyclical
CAM_00117,4,1,2,0,0.0,1,2,0,1,Character,COMP_00117,Basic Materials
CAM_00118,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00118,Consumer Cyclical
CAM_00119,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00119,Real Estate
CAM_00120,4,1,2,0,0.0,1,2,0,1,Character,COMP_00120,Basic Materials
CAM_00121,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00121,Healthcare
CAM_00122,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00122,Financial Services
CAM_00123,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00123,Real Estate
CAM_00124,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00124,Basic Materials
CAM_00125,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00125,Basic Materials
CAM_00126,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00126,Financial Services
CAM_00127,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00127,Consumer Defensive
CAM_00128,4,1,2,0,0.0,1,2,0,1,Character,COMP_00128,Basic Materials
CAM_00129,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00129,Energy
CAM_00130,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00130,Real Estate
CAM_00131,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00131,Energy
CAM_00132,4,1,1,1,0.3999999999999999,1,2,0,1,Character,COMP_00132,Consumer Cyclical
CAM_00133,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00133,Healthcare
CAM_00134,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00134,Healthcare
CAM_00135,4,1,2,0,0.0,1,2,0,1,Character,COMP_00135,Industrials
CAM_00136,4,1,2,0,0.0,1,2,0,1,Character,COMP_00136,Basic Materials
CAM_00137,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00137,Industrials
CAM_00138,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00138,Basic Materials
CAM_00139,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00139,Basic Materials
CAM_00140,4,1,2,0,0.0,1,2,0,1,Character,COMP_00140,Consumer Defensive
CAM_00141,4,1,2,0,0.0,1,2,0,1,Character,COMP_00141,Basic Materials
CAM_00142,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00142,Healthcare
CAM_00143,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00143,Industrials
CAM_00144,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00144,Healthcare
CAM_00145,4,1,2,0,0.0,1,2,0,1,Character,COMP_00145,Industrials
CAM_00146,4,1,2,0,0.0,1,2,0,1,Character,COMP_00146,Consumer Cyclical
CAM_00147,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00147,Industrials
CAM_00148,4,1,2,0,0.0,1,2,0,1,Character,COMP_00148,Consumer Defensive
CAM_00149,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00149,Financial Services
CAM_00150,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00150,Communication Services
CAM_00151,4,1,2,0,0.0,1,2,0,1,Character,COMP_00151,Basic Materials
CAM_00152,4,1,2,0,0.0,1,2,0,1,Character,COMP_00152,Consumer Cyclical
CAM_00153,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00153,Industrials
CAM_00154,4,1,2,0,0.0,1,2,0,1,Character,COMP_00154,Basic Materials
CAM_00155,4,1,2,0,0.0,1,2,0,1,Character,COMP_00155,Basic Materials
CAM_00156,4,1,2,0,0.0,1,2,0,1,Character,COMP_00156,Basic Materials
CAM_00157,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00157,Financial Services
CAM_00158,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00158,Real Estate
CAM_00159,4,1,2,0,0.0,1,2,0,1,Character,COMP_00159,Industrials
CAM_00160,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00160,Real Estate
CAM_00161,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00161,Financial Services
CAM_00162,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00162,Industrials
CAM_00163,4,1,2,0,0.0,1,2,0,1,Character,COMP_00163,Consumer Cyclical
CAM_00164,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00164,Financial Services
CAM_00165,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00165,Real Estate
CAM_00166,4,1,2,0,0.0,1,2,0,1,Character,COMP_00166,Basic Materials
CAM_00167,4,1,2,0,0.0,1,2,0,1,Character,COMP_00167,Consumer Cyclical
CAM_00168,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00168,Consumer Cyclical
CAM_00169,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00169,Real Estate
CAM_00170,4,1,2,0,0.0,1,2,0,1,Character,COMP_00170,Consumer Cyclical
CAM_00171,4,1,2,0,0.0,1,2,0,1,Character,COMP_00171,Basic Materials
CAM_00172,4,1,2,0,0.0,1,2,0,1,Character,COMP_00172,Consumer Cyclical
CAM_00173,4,1,2,0,0.0,1,2,0,1,Character,COMP_00173,Consumer Defensive
CAM_00174,4,1,2,0,0.0,1,2,0,1,Character,COMP_00174,Basic Materials
CAM_00175,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00175,Real Estate
CAM_00176,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00176,Real Estate
CAM_00177,4,1,2,0,0.0,1,2,0,1,Character,COMP_00177,Industrials
CAM_00178,4,1,2,0,0.0,1,2,0,1,Character,COMP_00178,Basic Materials
CAM_00179,4,1,2,0,0.0,1,2,0,1,Character,COMP_00179,Industrials
CAM_00180,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00180,Energy
CAM_00181,4,1,1,1,0.3999999999999999,1,2,0,1,Character,COMP_00181,Consumer Cyclical
CAM_00182,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00182,Basic Materials
CAM_00183,4,1,2,0,0.0,1,2,0,1,Character,COMP_00183,Industrials
CAM_00184,2,1,1,0,0.5,0,1,0,1,Character,COMP_00184,Consumer Cyclical
CAM_00185,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00185,Technology
CAM_00186,4,1,2,0,0.0,1,2,0,1,Character,COMP_00186,Consumer Defensive
CAM_00187,4,1,2,0,0.0,1,2,0,1,Character,COMP_00187,Basic Materials
CAM_00188,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00188,Healthcare
CAM_00189,4,1,2,0,0.0,1,2,0,1,Character,COMP_00189,Industrials
CAM_00190,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00190,Technology
CAM_00191,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00191,Healthcare
CAM_00192,4,1,2,0,0.0,1,2,0,1,Character,COMP_00192,Basic Materials
CAM_00193,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00193,Industrials
CAM_00194,4,1,2,0,0.0,1,2,0,1,Character,COMP_00194,Industrials
CAM_00195,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00195,Utilities
CAM_00196,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00196,Consumer Cyclical
CAM_00197,4,1,2,0,0.0,1,2,0,1,Character,COMP_00197,Industrials
CAM_00198,4,1,2,0,0.0,1,2,0,1,Character,COMP_00198,Industrials
CAM_00199,4,1,2,0,0.0,1,2,0,1,Character,COMP_00199,Industrials
CAM_00200,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00200,Consumer Cyclical
CAM_00201,4,1,2,0,0.0,1,2,0,1,Character,COMP_00201,Basic Materials
CAM_00202,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00202,Consumer Cyclical
CAM_00203,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00203,Financial Services
CAM_00204,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00204,Industrials
CAM_00205,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00205,Technology
CAM_00206,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00206,Healthcare
CAM_00207,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00207,Real Estate
CAM_00208,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00208,Financial Services
CAM_00209,4,1,2,0,0.0,1,2,0,1,Character,COMP_00209,Consumer Cyclical
CAM_00210,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00210,Consumer Cyclical
CAM_00211,4,1,2,0,0.0,1,2,0,1,Character,COMP_00211,Consumer Defensive
CAM_00212,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00212,Technology
CAM_00213,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00213,Technology
CAM_00214,4,1,2,0,0.0,1,2,0,1,Character,COMP_00214,Consumer Defensive
CAM_00215,4,1,2,0,0.0,1,2,0,1,Character,COMP_00215,Industrials
CAM_00216,4,1,2,0,0.0,1,2,0,1,Character,COMP_00216,Consumer Cyclical
CAM_00217,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00217,Financial Services
CAM_00218,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00218,Consumer Cyclical
CAM_00219,4,1,2,0,0.0,1,2,0,1,Character,COMP_00219,Basic Materials
CAM_00220,4,1,2,0,0.0,1,2,0,1,Character,COMP_00220,Industrials
CAM_00221,4,1,2,0,0.0,1,2,0,1,Character,COMP_00221,Industrials
CAM_00222,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00222,Consumer Defensive
CAM_00223,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00223,Financial Services
CAM_00224,4,1,2,0,0.0,1,2,0,1,Character,COMP_00224,Industrials
CAM_00225,3,1,1,1,-0.10000000000000009,0,2,0,1,Character,COMP_00225,Consumer Cyclical
CAM_00226,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00226,Financial Services
CAM_00227,4,1,2,0,0.0,1,2,0,1,Character,COMP_00227,Consumer Cyclical
CAM_00228,4,1,2,0,0.0,1,2,0,1,Character,COMP_00228,Industrials
CAM_00229,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00229,Healthcare
CAM_00230,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00230,Communication Services
CAM_00231,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00231,Financial Services
CAM_00232,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00232,Consumer Cyclical
CAM_00233,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00233,Consumer Defensive
CAM_00234,4,1,2,0,0.0,1,2,0,1,Character,COMP_00234,Consumer Cyclical
CAM_00235,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00235,Financial Services
CAM_00236,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00236,Healthcare
CAM_00237,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00237,Financial Services
CAM_00238,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00238,Consumer Defensive
CAM_00239,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00239,Financial Services
CAM_00240,4,1,2,0,0.0,1,2,0,1,Character,COMP_00240,Industrials
CAM_00241,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00241,Utilities
CAM_00242,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00242,Financial Services
CAM_00243,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00243,Consumer Cyclical
CAM_00244,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00244,Communication Services
CAM_00245,3,1,1,0,1.0,1,1,0,1,Character,COMP_00245,Basic Materials
CAM_00246,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00246,Healthcare
CAM_00247,4,1,2,0,0.0,1,2,0,1,Character,COMP_00247,Consumer Cyclical
CAM_00248,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00248,Consumer Cyclical
CAM_00249,4,1,2,0,0.0,1,2,0,1,Character,COMP_00249,Industrials
CAM_00250,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00250,Healthcare
CAM_00251,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00251,Consumer Defensive
CAM_00252,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00252,Industrials
CAM_00253,4,1,2,0,0.0,1,2,0,1,Character,COMP_00253,Consumer Cyclical
CAM_00254,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00254,Consumer Defensive
CAM_00255,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00255,Consumer Cyclical
CAM_00256,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00256,Financial Services
CAM_00257,4,1,2,0,0.0,1,2,0,1,Character,COMP_00257,Consumer Cyclical
CAM_00258,4,1,2,0,0.0,1,2,0,1,Character,COMP_00258,Industrials
CAM_00259,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00259,Financial Services
CAM_00260,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00260,Financial Services
CAM_00261,4,1,2,0,0.0,1,2,0,1,Character,COMP_00261,Basic Materials
CAM_00262,4,1,2,0,0.0,1,2,0,1,Character,COMP_00262,Consumer Cyclical
CAM_00263,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00263,Basic Materials
CAM_00264,4,1,2,0,0.0,1,2,0,1,Character,COMP_00264,Consumer Cyclical
CAM_00265,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00265,Consumer Cyclical
CAM_00266,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00266,Basic Materials
CAM_00267,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00267,Industrials
CAM_00268,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00268,Technology
CAM_00269,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00269,Consumer Defensive
CAM_00270,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00270,Consumer Cyclical
CAM_00271,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00271,Communication Services
CAM_00272,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00272,Consumer Defensive
CAM_00273,4,1,2,0,0.0,1,2,0,1,Character,COMP_00273,Consumer Cyclical
CAM_00274,4,1,2,0,0.0,1,2,0,1,Character,COMP_00274,Industrials
CAM_00275,4,1,2,0,0.0,1,2,0,1,Character,COMP_00275,Industrials
CAM_00276,4,1,2,0,0.0,1,2,0,1,Character,COMP_00276,Consumer Defensive
CAM_00277,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00277,Basic Materials
CAM_00278,4,1,2,0,0.0,1,2,0,1,Character,COMP_00278,Industrials
CAM_00279,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00279,Consumer Cyclical
CAM_00280,4,1,2,0,0.0,1,2,0,1,Character,COMP_00280,Consumer Cyclical
CAM_00281,4,1,2,0,0.0,1,2,0,1,Character,COMP_00281,Industrials
CAM_00282,4,1,2,0,0.0,1,2,0,1,Character,COMP_00282,Basic Materials
CAM_00283,4,1,2,0,0.0,1,2,0,1,Character,COMP_00283,Basic Materials
CAM_00284,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00284,Basic Materials
CAM_00285,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00285,Healthcare
CAM_00286,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00286,Financial Services
CAM_00287,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00287,Industrials
CAM_00288,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00288,Industrials
CAM_00289,4,1,2,0,0.0,1,2,0,1,Character,COMP_00289,Basic Materials
CAM_00290,4,1,2,0,0.0,1,2,0,1,Character,COMP_00290,Basic Materials
CAM_00291,4,1,2,0,0.0,1,2,0,1,Character,COMP_00291,Basic Materials
CAM_00292,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00292,Consumer Cyclical
CAM_00293,4,1,2,0,0.0,1,2,0,1,Character,COMP_00293,Basic Materials
CAM_00294,4,1,2,0,0.0,1,2,0,1,Character,COMP_00294,Consumer Cyclical
CAM_00295,3,1,1,1,-0.10000000000000009,0,2,0,1,Character,COMP_00295,Consumer Cyclical
CAM_00296,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00296,Basic Materials
CAM_00297,4,1,2,0,0.0,1,2,0,1,Character,COMP_00297,Consumer Cyclical
CAM_00298,4,1,2,0,0.0,1,2,0,1,Character,COMP_00298,Basic Materials
CAM_00299,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00299,Communication Services
CAM_00300,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00300,Communication Services
CAM_00301,4,1,2,0,0.0,1,2,0,1,Character,COMP_00301,Industrials
CAM_00302,4,1,2,0,0.0,1,2,0,1,Character,COMP_00302,Industrials
CAM_00303,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00303,Consumer Defensive
CAM_00304,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00304,Consumer Cyclical
CAM_00305,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00305,Basic Materials
CAM_00306,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00306,Healthcare
CAM_00307,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00307,Healthcare
CAM_00308,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00308,Technology
CAM_00309,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00309,Basic Materials
CAM_00310,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00310,Financial Services
CAM_00311,4,1,2,0,0.0,1,2,0,1,Character,COMP_00311,Industrials
CAM_00312,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00312,Technology
