company_cin,company_name,graph_risk_score,company_inactive_flag,has_active_drt_case,has_active_nclt_case,has_live_charges,live_charges_total_inr,n_directors,avg_director_stress_score,contagion_risk_score,network_degree,risk_components,computed_timestamp
L77856CG2010PLC000039,ANDHRA CEMENTS LIMITED,3.0,False,False,False,True,170455586.79,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.973037
L20826MP2010PLC000040,ACME SOLAR HOLDINGS LIMITED,3.0,False,False,False,True,604096082.43,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.979056
L69620DN2010PLC000041,ACUTAAS CHEMICALS LIMITED,3.0,False,False,False,True,715169561.03,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.984824
L86899TR2010PLC000042,ADANI ENERGY SOLUTIONS LIMITED,3.0,False,False,False,True,714974393.84,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.991358
L74762TR2010PLC000043,ADANI ENTERPRISES LIMITED,3.0,False,False,False,True,1748167052.79,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.997541
L75558LD2010PLC000044,ADANI GREEN ENERGY LIMITED,3.0,False,False,False,True,1019958535.12,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.003177
L75701MN2010PLC000045,ADANI PORTS AND SPECIAL ECONOM,3.0,False,False,False,True,45844485.57,3,10.0,0.0,6,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.008819
L16145MZ2010PLC000046,ADANI POWER LIMITED,3.0,False,False,False,True,1092663302.02,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.015117
L34538MH2010PLC000047,ADF FOODS LIMITED,3.0,False,False,False,True,629757743.91,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.021109
L23293JH2010PLC000048,ARCHIDPLY DECOR LIMITED,3.0,False,False,False,True,242163467.41,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.027099
L70752MP2010PLC000049,ADOR WELDING LIMITED,3.0,False,False,False,True,172229481.24,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.033675
L35631TS2010PLC000050,ADROIT INFOTECH LIMITED,3.0,False,False,False,True,512187439.23,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.039850
L43773CG2010PLC000051,ALLIED DIGITAL SERVICES LIMITE,3.0,False,False,False,True,237092448.57,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.045516
L82861GJ2010PLC000052,ADVAIT ENERGY TRANSITIONS LIMI,3.0,False,False,False,True,133192969.74,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.051473
L55089TN2010PLC000053,ADVANCE AGROLIFE LIMITED,3.0,False,False,False,True,666116844.42,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.057281
L48427KL2010PLC000054,ADVANI HOTELS & RESORTS (INDIA,3.0,False,False,False,True,157721502.02,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.062919
L45594MN2010PLC000055,ADVENT HOTELS INTERNATIONAL LI,3.0,False,False,False,True,87389310.25,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.069019
L93059OR2010PLC000056,ADVANCED ENZYME TECHNOLOGIES L,3.0,False,False,False,True,471026412.74,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.074986
L45399MP2010PLC000057,AEGIS LOGISTICS LIMITED,3.0,False,False,False,True,1748167052.79,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.080725
L82875JH2010PLC000058,AEGIS VOPAK TERMINALS LIMITED,3.0,False,False,False,True,192780296.55,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.086065
L53605GA2010PLC000059,AEQUS LIMITED,3.0,False,False,False,True,661590497.72,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.091254
L72779GA2010PLC000060,AEROFLEX ENTERPRISES LIMITED,3.0,False,False,False,True,314547106.92,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.096517
L21296NL2010PLC000061,AEROFLEX INDUSTRIES LIMITED,3.0,False,False,False,True,379818065.11,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.101912
L53856JH2010PLC000062,AEROFLEX NEU LIMITED,3.0,False,False,False,True,343367575.54,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.107182
L80394BR2010PLC000063,AETHER INDUSTRIES LIMITED,3.0,False,False,False,True,939519651.02,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.112501
L42680AR2010PLC000064,AFCONS INFRASTRUCTURE LIMITED,3.0,False,False,False,True,183528495.3,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.120122
L76129OR2010PLC000065,AFFLE 3I LIMITED,3.0,False,False,False,True,667694795.32,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.125682
L57925KA2010PLC000066,AFFORDABLE ROBOTIC & AUTOMATIO,3.0,False,False,False,True,173324971.18,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.129729
L23099JH2010PLC000067,AKME FINTRADE (INDIA) LIMITED,3.0,False,False,False,True,378717586.85,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.134517
L24320AN2010PLC000068,ABANS FINANCIAL SERVICES LIMIT,3.0,False,False,False,True,1748167052.79,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.140022
L72004AN2010PLC000069,AGARWAL INDUSTRIAL CORPORATION,3.0,False,False,False,True,372321472.98,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.145397
L87625KL2010PLC000070,DR. AGARWAL'S HEALTH CARE LIMI,3.0,False,False,False,True,1449526457.76,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.150839
L79811KA2010PLC000071,AGI GREENPAC LIMITED,3.0,False,False,False,True,398295192.44,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.156094
L10780DN2010PLC000072,AGI INFRA LIMITED,3.0,False,False,False,True,1545355505.94,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.161510
L27870TN2010PLC000073,AGRI-TECH (INDIA) LIMITED,3.0,False,False,False,True,620691871.8,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.166989
L80533TS2010PLC000074,AGRO PHOS INDIA LIMITED,3.0,False,False,False,True,446541605.05,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.172738
L81821TR2010PLC000075,AGS TRANSACT TECHNOLOGIES LIMI,3.0,False,False,False,True,580096277.19,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.178173
L40973AN2010PLC000076,ANLON HEALTHCARE LIMITED,3.0,False,False,False,True,1748167052.79,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.183540
L82687ML2010PLC000077,AHLADA ENGINEERS LIMITED,3.0,False,False,False,True,855461757.69,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.189050
L28995LD2010PLC000078,ASIAN HOTELS (EAST) LIMITED,3.0,False,False,False,True,376976392.83,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.194534
L39312TR2010PLC000079,AHLUWALIA CONTRACTS (INDIA) LI,3.0,False,False,False,True,570475623.6,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.200033
L16999BR2010PLC000080,AIA ENGINEERING LIMITED,3.0,False,False,False,True,403570117.64,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.205692
L79348ML2010PLC000081,AUTHUM INVESTMENT & INFRASTRUC,3.0,False,False,False,True,471853708.22,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.211351
L24403TR2010PLC000082,AIRAN LIMITED,3.0,False,False,False,True,689892673.91,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.216748
L28035AS2010PLC000083,AIRO LAM LIMITED,3.0,False,False,False,True,77107075.52,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.222286
L33441PY2010PLC000084,AJANTA PHARMA LIMITED,3.0,False,False,False,True,158424587.73,3,10.0,0.0,6,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.228044
L42190LD2010PLC000085,AJAX ENGINEERING LIMITED,3.0,False,False,False,True,487633261.45,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.233880
L57334TS2010PLC000086,AJMERA REALTY & INFRA INDIA LI,3.0,False,False,False,True,993861869.73,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.239745
L94222TR2010PLC000087,AJOONI BIOTECH LIMITED,3.0,False,False,False,True,128483862.74,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.245501
L70610MN2010PLC000088,AKASH INFRA-PROJECTS LIMITED,3.0,False,False,False,True,508823112.64,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.252413
L57787MZ2010PLC000089,AKG EXIM LIMITED,3.0,False,False,False,True,656711434.39,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.258467
L32692TR2010PLC000090,AKI INDIA LIMITED,3.0,False,False,False,True,331580576.28,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.264134
L14697MH2010PLC000091,AKSHAR SPINTEX LIMITED,3.0,False,False,False,True,214140290.85,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.270114
L86515KL2010PLC000092,AKSHARCHEM INDIA LIMITED,3.0,False,False,False,True,343445435.22,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:27.275652
