case_id,company_id,company_cin,sector,character_score,capacity_score,capital_score,collateral_score,conditions_score,composite_score,decision,character_label,capacity_label,capital_label,collateral_label,conditions_label,computed_at
CAM_00015,COMP_00015,L89692WB2010PLC000015,Healthcare,8.01,5.15,5.0,5.91,6.5,6.19,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.151922
CAM_00016,COMP_00016,L18692GA2010PLC000016,Basic Materials,7.58,4.78,5.0,5.93,6.5,5.95,REFER TO SENIOR CREDIT COMMITTEE,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.195477
CAM_00017,COMP_00017,L20702AP2010PLC000017,Healthcare,7.72,5.06,5.0,5.89,6.5,6.07,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.237395
CAM_00018,COMP_00018,L13555TS2010PLC000018,Basic Materials,7.6,4.61,5.0,5.91,6.2,5.87,REFER TO SENIOR CREDIT COMMITTEE,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.278131
CAM_00019,COMP_00019,L59839NL2010PLC000019,Industrials,9.55,5.04,5.0,5.92,6.5,6.62,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.319625
CAM_00020,COMP_00020,L90990AS2010PLC000020,Financial Services,7.59,5.26,5.0,5.86,6.2,6.06,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.362313
CAM_00021,COMP_00021,L13871AS2010PLC000021,Energy,9.55,4.8,5.0,5.95,6.5,6.55,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.403425
CAM_00022,COMP_00022,L81705OR2010PLC000022,Industrials,7.71,5.04,5.0,5.93,4.9,5.91,REFER TO SENIOR CREDIT COMMITTEE,Low Risk,Stressed,Moderate,Insufficient,Adverse,2026-03-12T15:06:26.445702
CAM_00023,COMP_00023,L60989AR2010PLC000023,Healthcare,7.89,4.45,5.0,5.96,5.5,5.85,REFER TO SENIOR CREDIT COMMITTEE,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.489125
CAM_00024,COMP_00024,L13834KL2010PLC000024,Financial Services,7.61,4.45,5.0,5.77,6.5,5.85,REFER TO SENIOR CREDIT COMMITTEE,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.533966
CAM_00025,COMP_00025,L22958DN2010PLC000025,Consumer Cyclical,9.55,5.07,5.0,5.97,6.5,6.63,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.578410
CAM_00026,COMP_00026,L99803NL2010PLC000026,Consumer Defensive,9.55,4.81,5.0,5.94,6.5,6.55,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.622095
CAM_00027,COMP_00027,L16852LD2010PLC000027,Consumer Cyclical,7.63,5.27,5.0,5.95,6.5,6.11,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.665630
CAM_00028,COMP_00028,L83280ML2010PLC000028,Industrials,7.66,4.58,5.0,5.77,5.5,5.8,REFER TO SENIOR CREDIT COMMITTEE,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.715531
CAM_00029,COMP_00029,L92766KL2010PLC000029,Consumer Cyclical,9.55,5.19,5.0,5.99,6.5,6.67,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.770935
CAM_00030,COMP_00030,L39972PY2010PLC000030,Basic Materials,9.55,5.24,5.0,5.83,6.5,6.67,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.815487
CAM_00031,COMP_00031,L57630DD2010PLC000031,Real Estate,7.58,5.18,5.0,5.77,6.5,6.05,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.861016
CAM_00032,COMP_00032,L17870ML2010PLC000032,Financial Services,9.55,4.63,5.0,5.65,6.5,6.47,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.904413
CAM_00033,COMP_00033,L70977MZ2010PLC000033,Basic Materials,7.94,4.83,5.0,5.98,6.5,6.08,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.946811
CAM_00034,COMP_00034,L78430ML2010PLC000034,Technology,7.86,5.25,5.0,5.86,6.5,6.17,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.990762
CAM_00035,COMP_00035,L54657DD2010PLC000035,Industrials,8.09,4.63,5.0,5.9,5.9,6.0,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.035025
CAM_00036,COMP_00036,L63429MP2010PLC000036,Industrials,7.86,4.44,5.0,5.82,5.5,5.82,REFER TO SENIOR CREDIT COMMITTEE,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.079317
CAM_00037,COMP_00037,L99271AR2010PLC000037,Industrials,9.55,5.19,5.0,5.97,6.5,6.67,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.123444
CAM_00038,COMP_00038,L45563GJ2010PLC000038,Basic Materials,7.62,4.87,5.0,5.98,6.5,6.0,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.168786
CAM_00039,COMP_00039,L77856CG2010PLC000039,Basic Materials,9.55,5.2,5.0,5.97,6.5,6.67,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.213561
CAM_00040,COMP_00040,L20826MP2010PLC000040,Utilities,9.55,4.14,5.0,5.88,6.5,6.35,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.266030
CAM_00041,COMP_00041,L69620DN2010PLC000041,Basic Materials,7.57,4.64,5.0,5.86,6.5,5.9,REFER TO SENIOR CREDIT COMMITTEE,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.308455
CAM_00042,COMP_00042,L86899TR2010PLC000042,Utilities,9.55,5.07,5.0,5.86,6.5,6.62,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.349827
CAM_00043,COMP_00043,L74762TR2010PLC000043,Energy,7.58,5.3,5.0,5.65,6.5,6.08,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.393945
CAM_00044,COMP_00044,L75558LD2010PLC000044,Utilities,9.55,5.17,5.0,5.8,6.5,6.65,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.435028
CAM_00045,COMP_00045,L75701MN2010PLC000045,Industrials,7.58,5.07,5.0,5.99,5.5,5.94,REFER TO SENIOR CREDIT COMMITTEE,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.476376
CAM_00046,COMP_00046,L16145MZ2010PLC000046,Utilities,9.55,4.92,5.0,5.78,6.5,6.57,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.518120
CAM_00047,COMP_00047,L34538MH2010PLC000047,Consumer Defensive,9.55,4.52,5.0,5.87,6.5,6.46,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.560214
CAM_00048,COMP_00048,L23293JH2010PLC000048,Consumer Cyclical,9.55,5.27,5.0,5.95,6.5,6.69,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.602393
CAM_00049,COMP_00049,L70752MP2010PLC000049,Industrials,7.58,5.23,5.0,5.97,6.5,6.09,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.644458
CAM_00050,COMP_00050,L35631TS2010PLC000050,Technology,9.55,4.99,5.0,5.9,6.5,6.6,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.685936
CAM_00051,COMP_00051,L43773CG2010PLC000051,Technology,9.55,5.06,5.0,5.95,6.5,6.63,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.726575
CAM_00052,COMP_00052,L82861GJ2010PLC000052,Industrials,9.55,4.38,5.0,5.97,6.5,6.43,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.768771
CAM_00053,COMP_00053,L55089TN2010PLC000053,Basic Materials,8.02,5.28,5.0,5.87,5.6,6.14,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.810168
CAM_00054,COMP_00054,L48427KL2010PLC000054,Consumer Cyclical,9.55,4.37,5.0,5.97,6.5,6.42,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.851666
CAM_00055,COMP_00055,L45594MN2010PLC000055,Consumer Cyclical,9.55,4.76,5.0,5.98,6.5,6.54,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.892046
CAM_00056,COMP_00056,L93059OR2010PLC000056,Basic Materials,7.63,4.82,5.0,5.91,6.5,5.98,REFER TO SENIOR CREDIT COMMITTEE,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.932653
CAM_00057,COMP_00057,L45399MP2010PLC000057,Energy,9.55,5.25,5.0,5.65,6.5,6.66,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:27.976769
CAM_00058,COMP_00058,L82875JH2010PLC000058,Energy,9.55,4.4,5.0,5.96,6.5,6.43,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.020237
CAM_00059,COMP_00059,L53605GA2010PLC000059,Industrials,7.58,4.26,5.0,5.87,5.5,5.69,REFER TO SENIOR CREDIT COMMITTEE,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.065245
CAM_00060,COMP_00060,L72779GA2010PLC000060,Basic Materials,9.0,4.97,5.0,5.94,5.5,6.33,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.108365
CAM_00061,COMP_00061,L21296NL2010PLC000061,Industrials,9.55,5.24,5.0,5.92,6.5,6.68,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.153883
CAM_00062,COMP_00062,L53856JH2010PLC000062,Consumer Cyclical,9.55,5.21,5.0,5.93,6.5,6.67,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.200546
CAM_00063,COMP_00063,L80394BR2010PLC000063,Basic Materials,9.03,5.3,5.0,5.81,6.5,6.53,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.245194
CAM_00064,COMP_00064,L42680AR2010PLC000064,Industrials,8.07,5.12,5.0,5.96,6.5,6.2,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.288367
CAM_00065,COMP_00065,L76129OR2010PLC000065,Communication Services,9.55,4.6,5.0,5.87,6.5,6.48,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.330102
CAM_00066,COMP_00066,L57925KA2010PLC000066,Industrials,8.14,5.27,5.0,5.97,5.3,6.15,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.374024
CAM_00067,COMP_00067,L23099JH2010PLC000067,Financial Services,9.55,5.03,5.0,5.92,6.5,6.62,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.417015
CAM_00068,COMP_00068,L24320AN2010PLC000068,Financial Services,9.55,4.32,5.0,5.65,5.5,6.28,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.461594
CAM_00069,COMP_00069,L72004AN2010PLC000069,Basic Materials,9.55,4.78,5.0,5.93,4.5,6.34,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Adverse,2026-03-12T15:06:28.505128
CAM_00070,COMP_00070,L87625KL2010PLC000070,Healthcare,8.32,5.29,5.0,5.71,6.5,6.3,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.549911
CAM_00071,COMP_00071,L79811KA2010PLC000071,Consumer Cyclical,7.59,5.26,5.0,5.92,6.5,6.1,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.595256
CAM_00072,COMP_00072,L10780DN2010PLC000072,Real Estate,9.55,4.64,5.0,5.69,6.5,6.48,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.639466
CAM_00073,COMP_00073,L27870TN2010PLC000073,Consumer Defensive,9.55,5.16,5.0,5.88,6.5,6.65,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.683628
CAM_00074,COMP_00074,L80533TS2010PLC000074,Basic Materials,7.57,4.77,5.0,5.91,6.5,5.94,REFER TO SENIOR CREDIT COMMITTEE,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.728706
CAM_00075,COMP_00075,L81821TR2010PLC000075,Technology,9.55,4.52,5.0,5.88,5.5,6.36,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.773101
CAM_00076,COMP_00076,L40973AN2010PLC000076,Healthcare,8.02,4.87,5.0,5.65,6.5,6.08,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.816419
CAM_00077,COMP_00077,L82687ML2010PLC000077,Industrials,9.55,5.12,5.0,5.83,6.5,6.63,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.856334
CAM_00078,COMP_00078,L28995LD2010PLC000078,Consumer Cyclical,9.55,5.17,5.0,5.92,6.5,6.66,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.897965
CAM_00079,COMP_00079,L39312TR2010PLC000079,Industrials,9.55,5.12,5.0,5.89,6.5,6.64,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.938103
CAM_00080,COMP_00080,L16999BR2010PLC000080,Industrials,7.58,5.12,5.0,5.92,6.5,6.05,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:28.978782
CAM_00081,COMP_00081,L79348ML2010PLC000081,Financial Services,9.55,5.37,5.0,5.91,6.5,6.72,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.020175
CAM_00082,COMP_00082,L24403TR2010PLC000082,Technology,9.55,5.02,5.0,5.86,6.5,6.61,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.062041
CAM_00083,COMP_00083,L28035AS2010PLC000083,Consumer Cyclical,7.65,4.65,5.0,5.98,6.5,5.94,REFER TO SENIOR CREDIT COMMITTEE,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.107358
CAM_00084,COMP_00084,L33441PY2010PLC000084,Healthcare,7.95,4.81,5.0,5.97,6.5,6.07,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.151670
CAM_00085,COMP_00085,L42190LD2010PLC000085,Industrials,9.55,5.26,5.0,5.9,6.5,6.68,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.194773
CAM_00086,COMP_00086,L57334TS2010PLC000086,Real Estate,7.75,5.19,5.0,5.8,5.9,6.05,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.240974
CAM_00087,COMP_00087,L94222TR2010PLC000087,Consumer Defensive,9.55,5.22,5.0,5.97,6.5,6.68,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.282470
CAM_00088,COMP_00088,L70610MN2010PLC000088,Industrials,9.55,5.23,5.0,5.9,6.5,6.67,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.324211
CAM_00089,COMP_00089,L57787MZ2010PLC000089,Industrials,8.97,5.11,5.0,5.87,6.5,6.46,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.367777
CAM_00090,COMP_00090,L32692TR2010PLC000090,Consumer Cyclical,8.55,4.76,5.0,5.93,6.5,6.24,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.409120
CAM_00091,COMP_00091,L14697MH2010PLC000091,Consumer Cyclical,9.55,4.71,5.0,5.96,6.5,6.52,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.452003
CAM_00092,COMP_00092,L86515KL2010PLC000092,Basic Materials,7.59,4.8,5.0,5.93,6.5,5.96,REFER TO SENIOR CREDIT COMMITTEE,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.494199
CAM_00093,COMP_00093,L59425PY2010PLC000093,Technology,9.55,5.21,5.0,5.9,6.5,6.67,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.538076
CAM_00094,COMP_00094,L82512LD2010PLC000094,Healthcare,7.82,5.23,5.0,5.91,6.5,6.16,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.582550
CAM_00095,COMP_00095,L84932BR2010PLC000095,Basic Materials,9.55,5.07,5.0,5.96,6.5,6.63,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.628819
CAM_00096,COMP_00096,L55980ML2010PLC000096,Technology,9.55,5.23,5.0,5.78,6.5,6.66,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.669918
CAM_00097,COMP_00097,L31111AP2010PLC000097,Healthcare,8.34,5.17,5.0,5.82,6.5,6.29,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.711592
CAM_00098,COMP_00098,L98180CG2010PLC000098,Real Estate,9.55,4.42,5.0,5.68,6.5,6.41,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.756430
CAM_00099,COMP_00099,L60418NL2010PLC000099,Financial Services,9.55,5.09,5.0,5.8,5.5,6.52,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.802114
CAM_00100,COMP_00100,L32562AS2010PLC000100,Industrials,8.94,5.28,5.0,5.97,6.5,6.51,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.846401
CAM_00101,COMP_00101,L39237LD2010PLC000101,Healthcare,8.09,5.11,5.0,5.87,6.5,6.2,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.888277
CAM_00102,COMP_00102,L50220MP2010PLC000102,Basic Materials,8.91,4.59,5.0,5.95,5.5,6.19,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.929818
CAM_00103,COMP_00103,L54674AP2010PLC000103,Healthcare,7.76,5.15,5.0,5.84,6.2,6.08,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:29.971656
CAM_00104,COMP_00104,L88063PY2010PLC000104,Basic Materials,7.6,4.76,5.0,5.88,6.5,5.95,REFER TO SENIOR CREDIT COMMITTEE,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:30.013925
CAM_00105,COMP_00105,L74074AP2010PLC000105,Industrials,7.7,5.05,5.0,5.8,6.5,6.06,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:30.059136
CAM_00106,COMP_00106,L18555AR2010PLC000106,Industrials,9.55,4.63,5.0,5.91,6.5,6.5,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:30.088163
CAM_00107,COMP_00107,L24915AR2010PLC000107,Consumer Defensive,9.55,5.16,5.0,5.95,6.5,6.66,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:30.111935
CAM_00108,COMP_00108,L23949NL2010PLC000108,Financial Services,9.55,5.17,5.0,5.85,6.5,6.65,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:30.145459
CAM_00109,COMP_00109,L90514BR2010PLC000109,Consumer Cyclical,9.55,5.04,5.0,5.96,6.5,6.62,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:30.176859
CAM_00110,COMP_00110,L81932GA2010PLC000110,Healthcare,9.01,4.76,5.0,5.82,6.5,6.36,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:30.204641
CAM_00111,COMP_00111,L74913PY2010PLC000111,Energy,9.55,5.3,5.0,5.65,6.5,6.67,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:30.230012
CAM_00112,COMP_00112,L42794MP2010PLC000112,Technology,9.55,4.83,5.0,5.94,5.5,6.46,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:30.255283
CAM_00113,COMP_00113,L45201MZ2010PLC000113,Healthcare,8.09,4.63,5.0,5.65,6.5,6.03,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:30.279876
CAM_00114,COMP_00114,L40107LD2010PLC000114,Consumer Cyclical,7.95,5.24,5.0,5.99,6.2,6.18,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:30.303810
CAM_00115,COMP_00115,L26507MP2010PLC000115,Consumer Defensive,9.55,4.78,5.0,5.98,6.5,6.55,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:30.327942
CAM_00116,COMP_00116,L50246KA2010PLC000116,Consumer Cyclical,9.55,4.99,5.0,6.0,5.5,6.51,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:30.352242
CAM_00117,COMP_00117,L86384SK2010PLC000117,Basic Materials,7.59,5.03,5.0,5.69,6.5,6.0,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:30.376553
