case_id,company_id,company_cin,sector,anomaly_score_raw,anomaly_score_normalized,isolation_forest_label,anomaly_classification,feature_percentile_ranks,n_sector_peers,model_n_estimators,processed_timestamp
CAM_00060,COMP_00060,L72779GA2010PLC000060,Basic Materials,-0.562872,0.4573,outlier,anomalous,"{""dscr"": 97.3, ""debt_to_equity"": 4.1, ""interest_coverage"": 97.0, ""ebitda_margin"": 36.2, ""pat_margin"": 60.8}",370,200,2026-03-12T13:20:09.013589
CAM_00063,COMP_00063,L80394BR2010PLC000063,Basic Materials,-0.418812,0.9974,normal,normal,"{""dscr"": 43.0, ""debt_to_equity"": 44.1, ""interest_coverage"": 54.3, ""ebitda_margin"": 45.4, ""pat_margin"": 49.5}",370,200,2026-03-12T13:20:09.013786
CAM_00069,COMP_00069,L72004AN2010PLC000069,Basic Materials,-0.647208,0.1411,outlier,extreme_outlier,"{""dscr"": 98.1, ""debt_to_equity"": 2.7, ""interest_coverage"": 98.6, ""ebitda_margin"": 73.2, ""pat_margin"": 97.8}",370,200,2026-03-12T13:20:09.013971
CAM_00074,COMP_00074,L80533TS2010PLC000074,Basic Materials,-0.477297,0.7781,normal,normal,"{""dscr"": 28.9, ""debt_to_equity"": 84.6, ""interest_coverage"": 26.2, ""ebitda_margin"": 10.3, ""pat_margin"": 10.5}",370,200,2026-03-12T13:20:09.014151
CAM_00092,COMP_00092,L86515KL2010PLC000092,Basic Materials,-0.461431,0.8376,normal,normal,"{""dscr"": 12.7, ""debt_to_equity"": 75.7, ""interest_coverage"": 10.0, ""ebitda_margin"": 72.7, ""pat_margin"": 43.5}",370,200,2026-03-12T13:20:09.014329
CAM_00095,COMP_00095,L84932BR2010PLC000095,Basic Materials,-0.519291,0.6207,normal,normal,"{""dscr"": 95.4, ""debt_to_equity"": 6.5, ""interest_coverage"": 92.7, ""ebitda_margin"": 27.6, ""pat_margin"": 48.6}",370,200,2026-03-12T13:20:09.014523
CAM_00102,COMP_00102,L50220MP2010PLC000102,Basic Materials,-0.555347,0.4855,outlier,anomalous,"{""dscr"": 69.5, ""debt_to_equity"": 9.2, ""interest_coverage"": 63.2, ""ebitda_margin"": 0.3, ""pat_margin"": 1.4}",370,200,2026-03-12T13:20:09.014710
CAM_00104,COMP_00104,L88063PY2010PLC000104,Basic Materials,-0.47962,0.7694,normal,normal,"{""dscr"": 45.4, ""debt_to_equity"": 31.4, ""interest_coverage"": 41.6, ""ebitda_margin"": 2.4, ""pat_margin"": 6.2}",370,200,2026-03-12T13:20:09.014924
CAM_00117,COMP_00117,L86384SK2010PLC000117,Basic Materials,-0.447453,0.89,normal,normal,"{""dscr"": 8.6, ""debt_to_equity"": 77.6, ""interest_coverage"": 25.4, ""ebitda_margin"": 35.7, ""pat_margin"": 30.8}",370,200,2026-03-12T13:20:09.015110
CAM_00120,COMP_00120,L35016NL2010PLC000120,Basic Materials,-0.440177,0.9173,normal,normal,"{""dscr"": 46.8, ""debt_to_equity"": 42.7, ""interest_coverage"": 54.6, ""ebitda_margin"": 14.6, ""pat_margin"": 24.1}",370,200,2026-03-12T13:20:09.015297
CAM_00124,COMP_00124,L65815MP2010PLC000124,Basic Materials,-0.443664,0.9042,normal,normal,"{""dscr"": 52.4, ""debt_to_equity"": 53.8, ""interest_coverage"": 78.9, ""ebitda_margin"": 74.1, ""pat_margin"": 82.2}",370,200,2026-03-12T13:20:09.015516
CAM_00125,COMP_00125,L83158BR2010PLC000125,Basic Materials,-0.457929,0.8507,normal,normal,"{""dscr"": 40.8, ""debt_to_equity"": 65.1, ""interest_coverage"": 57.3, ""ebitda_margin"": 91.4, ""pat_margin"": 88.6}",370,200,2026-03-12T13:20:09.015705
CAM_00128,COMP_00128,L79589CG2010PLC000128,Basic Materials,-0.508109,0.6626,normal,normal,"{""dscr"": 21.1, ""debt_to_equity"": 98.1, ""interest_coverage"": 28.1, ""ebitda_margin"": 7.3, ""pat_margin"": 9.5}",370,200,2026-03-12T13:20:09.015909
CAM_00136,COMP_00136,L29454LD2010PLC000136,Basic Materials,-0.539253,0.5458,outlier,anomalous,"{""dscr"": 0.3, ""debt_to_equity"": 94.9, ""interest_coverage"": 2.2, ""ebitda_margin"": 29.5, ""pat_margin"": 4.6}",370,200,2026-03-12T13:20:09.016141
CAM_00138,COMP_00138,L81169KA2010PLC000138,Basic Materials,-0.45358,0.867,normal,normal,"{""dscr"": 11.1, ""debt_to_equity"": 70.5, ""interest_coverage"": 7.8, ""ebitda_margin"": 67.0, ""pat_margin"": 34.6}",370,200,2026-03-12T13:20:09.016393
CAM_00139,COMP_00139,L78221CG2010PLC000139,Basic Materials,-0.47437,0.7891,normal,normal,"{""dscr"": 86.2, ""debt_to_equity"": 4.9, ""interest_coverage"": 77.0, ""ebitda_margin"": 60.8, ""pat_margin"": 68.4}",370,200,2026-03-12T13:20:09.016848
CAM_00141,COMP_00141,L60090AN2010PLC000141,Basic Materials,-0.544893,0.5247,outlier,anomalous,"{""dscr"": 81.9, ""debt_to_equity"": 6.8, ""interest_coverage"": 80.0, ""ebitda_margin"": 0.8, ""pat_margin"": 6.5}",370,200,2026-03-12T13:20:09.017206
CAM_00151,COMP_00151,L23575LD2010PLC000151,Basic Materials,-0.454525,0.8635,normal,normal,"{""dscr"": 54.3, ""debt_to_equity"": 32.4, ""interest_coverage"": 43.5, ""ebitda_margin"": 6.2, ""pat_margin"": 11.4}",370,200,2026-03-12T13:20:09.017535
CAM_00154,COMP_00154,L40032LD2010PLC000154,Basic Materials,-0.434896,0.9371,normal,normal,"{""dscr"": 58.6, ""debt_to_equity"": 30.0, ""interest_coverage"": 67.0, ""ebitda_margin"": 33.8, ""pat_margin"": 44.3}",370,200,2026-03-12T13:20:09.017856
CAM_00155,COMP_00155,L42339GA2010PLC000155,Basic Materials,-0.49719,0.7035,normal,normal,"{""dscr"": 93.0, ""debt_to_equity"": 14.6, ""interest_coverage"": 93.2, ""ebitda_margin"": 63.5, ""pat_margin"": 80.0}",370,200,2026-03-12T13:20:09.018169
CAM_00156,COMP_00156,L47308KL2010PLC000156,Basic Materials,-0.4683,0.8118,normal,normal,"{""dscr"": 46.2, ""debt_to_equity"": 84.9, ""interest_coverage"": 71.1, ""ebitda_margin"": 66.5, ""pat_margin"": 70.3}",370,200,2026-03-12T13:20:09.018457
CAM_00166,COMP_00166,L10712AR2010PLC000166,Basic Materials,-0.422594,0.9832,normal,normal,"{""dscr"": 63.2, ""debt_to_equity"": 40.3, ""interest_coverage"": 78.4, ""ebitda_margin"": 59.2, ""pat_margin"": 67.6}",370,200,2026-03-12T13:20:09.018790
CAM_00171,COMP_00171,L14058CG2010PLC000171,Basic Materials,-0.43659,0.9307,normal,normal,"{""dscr"": 18.1, ""debt_to_equity"": 83.8, ""interest_coverage"": 23.8, ""ebitda_margin"": 60.5, ""pat_margin"": 46.5}",370,200,2026-03-12T13:20:09.018996
CAM_00174,COMP_00174,L48491MZ2010PLC000174,Basic Materials,-0.435919,0.9332,normal,normal,"{""dscr"": 42.7, ""debt_to_equity"": 75.4, ""interest_coverage"": 49.5, ""ebitda_margin"": 57.3, ""pat_margin"": 57.6}",370,200,2026-03-12T13:20:09.019177
CAM_00178,COMP_00178,L80148GA2010PLC000178,Basic Materials,-0.453689,0.8666,normal,normal,"{""dscr"": 80.3, ""debt_to_equity"": 11.4, ""interest_coverage"": 74.3, ""ebitda_margin"": 57.6, ""pat_margin"": 65.4}",370,200,2026-03-12T13:20:09.019357
CAM_00182,COMP_00182,L52140LD2010PLC000182,Basic Materials,-0.508771,0.6601,normal,normal,"{""dscr"": 90.8, ""debt_to_equity"": 25.4, ""interest_coverage"": 90.0, ""ebitda_margin"": 15.7, ""pat_margin"": 35.4}",370,200,2026-03-12T13:20:09.019627
CAM_00187,COMP_00187,L59082CG2010PLC000187,Basic Materials,-0.648437,0.1365,outlier,extreme_outlier,"{""dscr"": 98.6, ""debt_to_equity"": 12.2, ""interest_coverage"": 99.7, ""ebitda_margin"": 34.3, ""pat_margin"": 62.2}",370,200,2026-03-12T13:20:09.019869
CAM_00192,COMP_00192,L90638BR2010PLC000192,Basic Materials,-0.434792,0.9375,normal,normal,"{""dscr"": 61.9, ""debt_to_equity"": 42.4, ""interest_coverage"": 55.9, ""ebitda_margin"": 79.7, ""pat_margin"": 74.6}",370,200,2026-03-12T13:20:09.020064
CAM_00201,COMP_00201,L91880MH2010PLC000201,Basic Materials,-0.479951,0.7681,normal,normal,"{""dscr"": 82.7, ""debt_to_equity"": 5.4, ""interest_coverage"": 67.6, ""ebitda_margin"": 11.6, ""pat_margin"": 24.3}",370,200,2026-03-12T13:20:09.020245
CAM_00219,COMP_00219,L89553DD2010PLC000219,Basic Materials,-0.451857,0.8735,normal,normal,"{""dscr"": 74.9, ""debt_to_equity"": 36.2, ""interest_coverage"": 87.0, ""ebitda_margin"": 50.0, ""pat_margin"": 65.9}",370,200,2026-03-12T13:20:09.020420
CAM_00245,COMP_00245,L45088WB2010PLC000245,Basic Materials,-0.426244,0.9695,normal,normal,"{""dscr"": 27.6, ""debt_to_equity"": 61.9, ""interest_coverage"": 19.2, ""ebitda_margin"": 31.1, ""pat_margin"": 23.5}",370,200,2026-03-12T13:20:09.020683
CAM_00261,COMP_00261,L39881JH2010PLC000261,Basic Materials,-0.426341,0.9691,normal,normal,"{""dscr"": 45.1, ""debt_to_equity"": 66.8, ""interest_coverage"": 37.0, ""ebitda_margin"": 51.4, ""pat_margin"": 47.0}",370,200,2026-03-12T13:20:09.020896
CAM_00263,COMP_00263,L68192SK2010PLC000263,Basic Materials,-0.531358,0.5754,outlier,anomalous,"{""dscr"": 74.3, ""debt_to_equity"": 1.1, ""interest_coverage"": 42.2, ""ebitda_margin"": 1.9, ""pat_margin"": 3.2}",370,200,2026-03-12T13:20:09.021082
CAM_00266,COMP_00266,L49107MP2010PLC000266,Basic Materials,-0.433421,0.9426,normal,normal,"{""dscr"": 28.4, ""debt_to_equity"": 38.9, ""interest_coverage"": 20.5, ""ebitda_margin"": 53.2, ""pat_margin"": 38.9}",370,200,2026-03-12T13:20:09.021259
CAM_00277,COMP_00277,L43970MN2010PLC000277,Basic Materials,-0.491922,0.7233,normal,normal,"{""dscr"": 77.6, ""debt_to_equity"": 11.9, ""interest_coverage"": 52.2, ""ebitda_margin"": 1.1, ""pat_margin"": 5.9}",370,200,2026-03-12T13:20:09.021434
CAM_00282,COMP_00282,L91320MN2010PLC000282,Basic Materials,-0.437694,0.9266,normal,normal,"{""dscr"": 67.6, ""debt_to_equity"": 37.8, ""interest_coverage"": 56.8, ""ebitda_margin"": 78.1, ""pat_margin"": 74.1}",370,200,2026-03-12T13:20:09.021696
CAM_00283,COMP_00283,L38856AP2010PLC000283,Basic Materials,-0.500343,0.6917,normal,normal,"{""dscr"": 87.6, ""debt_to_equity"": 1.4, ""interest_coverage"": 71.4, ""ebitda_margin"": 14.1, ""pat_margin"": 28.9}",370,200,2026-03-12T13:20:09.021902
CAM_00284,COMP_00284,L30685TS2010PLC000284,Basic Materials,-0.518256,0.6245,normal,normal,"{""dscr"": 1.4, ""debt_to_equity"": 85.4, ""interest_coverage"": 0.8, ""ebitda_margin"": 23.5, ""pat_margin"": 0.8}",370,200,2026-03-12T13:20:09.022082
CAM_00289,COMP_00289,L95496CG2010PLC000289,Basic Materials,-0.547498,0.5149,outlier,anomalous,"{""dscr"": 13.5, ""debt_to_equity"": 91.4, ""interest_coverage"": 20.8, ""ebitda_margin"": 99.2, ""pat_margin"": 84.3}",370,200,2026-03-12T13:20:09.022277
CAM_00290,COMP_00290,L56586GJ2010PLC000290,Basic Materials,-0.462254,0.8345,normal,normal,"{""dscr"": 75.7, ""debt_to_equity"": 9.7, ""interest_coverage"": 56.2, ""ebitda_margin"": 16.8, ""pat_margin"": 25.1}",370,200,2026-03-12T13:20:09.022459
CAM_00291,COMP_00291,L63152MN2010PLC000291,Basic Materials,-0.441285,0.9131,normal,normal,"{""dscr"": 44.3, ""debt_to_equity"": 58.6, ""interest_coverage"": 44.3, ""ebitda_margin"": 87.0, ""pat_margin"": 77.8}",370,200,2026-03-12T13:20:09.022734
CAM_00293,COMP_00293,L79676LD2010PLC000293,Basic Materials,-0.494725,0.7128,normal,normal,"{""dscr"": 10.3, ""debt_to_equity"": 47.6, ""interest_coverage"": 2.7, ""ebitda_margin"": 20.3, ""pat_margin"": 1.9}",370,200,2026-03-12T13:20:09.022937
CAM_00296,COMP_00296,L61811DN2010PLC000296,Basic Materials,-0.428676,0.9604,normal,normal,"{""dscr"": 11.4, ""debt_to_equity"": 72.7, ""interest_coverage"": 17.8, ""ebitda_margin"": 49.2, ""pat_margin"": 35.7}",370,200,2026-03-12T13:20:09.023129
CAM_00298,COMP_00298,L61621LD2010PLC000298,Basic Materials,-0.499326,0.6955,normal,normal,"{""dscr"": 38.1, ""debt_to_equity"": 40.5, ""interest_coverage"": 34.1, ""ebitda_margin"": 97.3, ""pat_margin"": 85.4}",370,200,2026-03-12T13:20:09.023315
CAM_00305,COMP_00305,L35263TN2010PLC000305,Basic Materials,-0.454611,0.8631,normal,normal,"{""dscr"": 60.0, ""debt_to_equity"": 59.7, ""interest_coverage"": 71.9, ""ebitda_margin"": 22.2, ""pat_margin"": 37.8}",370,200,2026-03-12T13:20:09.023493
CAM_00309,COMP_00309,L32603TN2010PLC000309,Basic Materials,-0.472056,0.7977,normal,normal,"{""dscr"": 83.5, ""debt_to_equity"": 39.7, ""interest_coverage"": 77.8, ""ebitda_margin"": 81.9, ""pat_margin"": 87.6}",370,200,2026-03-12T13:20:09.023783
CAM_00325,COMP_00325,L16128GA2010PLC000325,Basic Materials,-0.442484,0.9086,normal,normal,"{""dscr"": 49.5, ""debt_to_equity"": 40.8, ""interest_coverage"": 27.0, ""ebitda_margin"": 13.5, ""pat_margin"": 16.2}",370,200,2026-03-12T13:20:09.023970
CAM_00326,COMP_00326,L10575BR2010PLC000326,Basic Materials,-0.453779,0.8663,normal,normal,"{""dscr"": 64.1, ""debt_to_equity"": 74.6, ""interest_coverage"": 65.4, ""ebitda_margin"": 76.2, ""pat_margin"": 77.6}",370,200,2026-03-12T13:20:09.024147
CAM_00327,COMP_00327,L87224MH2010PLC000327,Basic Materials,-0.478619,0.7731,normal,normal,"{""dscr"": 6.5, ""debt_to_equity"": 91.9, ""interest_coverage"": 5.9, ""ebitda_margin"": 79.5, ""pat_margin"": 40.8}",370,200,2026-03-12T13:20:09.024320
CAM_00329,COMP_00329,L10361TS2010PLC000329,Basic Materials,-0.451083,0.8764,normal,normal,"{""dscr"": 41.4, ""debt_to_equity"": 80.8, ""interest_coverage"": 39.2, ""ebitda_margin"": 85.9, ""pat_margin"": 73.8}",370,200,2026-03-12T13:20:09.024494
CAM_00344,COMP_00344,L50147DD2010PLC000344,Basic Materials,-0.512863,0.6448,normal,normal,"{""dscr"": 87.0, ""debt_to_equity"": 11.6, ""interest_coverage"": 64.1, ""ebitda_margin"": 1.4, ""pat_margin"": 8.1}",370,200,2026-03-12T13:20:09.024779
CAM_00350,COMP_00350,L88200LD2010PLC000350,Basic Materials,-0.451315,0.8755,normal,normal,"{""dscr"": 65.7, ""debt_to_equity"": 13.8, ""interest_coverage"": 55.1, ""ebitda_margin"": 12.2, ""pat_margin"": 20.8}",370,200,2026-03-12T13:20:09.024965
CAM_00353,COMP_00353,L99748TN2010PLC000353,Basic Materials,-0.619341,0.2456,outlier,anomalous,"{""dscr"": 97.6, ""debt_to_equity"": 1.9, ""interest_coverage"": 94.1, ""ebitda_margin"": 4.6, ""pat_margin"": 22.4}",370,200,2026-03-12T13:20:09.025142
CAM_00383,COMP_00383,L10582WB2010PLC000383,Basic Materials,-0.434456,0.9387,normal,normal,"{""dscr"": 55.7, ""debt_to_equity"": 67.8, ""interest_coverage"": 65.1, ""ebitda_margin"": 74.6, ""pat_margin"": 75.9}",370,200,2026-03-12T13:20:09.025409
CAM_00387,COMP_00387,L21273MP2010PLC000387,Basic Materials,-0.427021,0.9666,normal,normal,"{""dscr"": 23.0, ""debt_to_equity"": 71.6, ""interest_coverage"": 14.6, ""ebitda_margin"": 46.2, ""pat_margin"": 30.0}",370,200,2026-03-12T13:20:09.025700
CAM_00395,COMP_00395,L82053AS2010PLC000395,Basic Materials,-0.436692,0.9303,normal,normal,"{""dscr"": 25.7, ""debt_to_equity"": 63.8, ""interest_coverage"": 12.4, ""ebitda_margin"": 25.9, ""pat_margin"": 17.6}",370,200,2026-03-12T13:20:09.025911
CAM_00396,COMP_00396,L38609BR2010PLC000396,Basic Materials,-0.512046,0.6478,normal,normal,"{""dscr"": 1.6, ""debt_to_equity"": 76.5, ""interest_coverage"": 5.7, ""ebitda_margin"": 13.2, ""pat_margin"": 2.4}",370,200,2026-03-12T13:20:09.026092
CAM_00397,COMP_00397,L70884SK2010PLC000397,Basic Materials,-0.458911,0.847,normal,normal,"{""dscr"": 75.1, ""debt_to_equity"": 14.1, ""interest_coverage"": 51.6, ""ebitda_margin"": 9.7, ""pat_margin"": 19.2}",370,200,2026-03-12T13:20:09.026282
CAM_00398,COMP_00398,L86025GJ2010PLC000398,Basic Materials,-0.439748,0.9189,normal,normal,"{""dscr"": 51.4, ""debt_to_equity"": 58.4, ""interest_coverage"": 72.7, ""ebitda_margin"": 77.6, ""pat_margin"": 82.7}",370,200,2026-03-12T13:20:09.026462
CAM_00399,COMP_00399,L10116WB2010PLC000399,Basic Materials,-0.481637,0.7618,normal,normal,"{""dscr"": 9.5, ""debt_to_equity"": 86.5, ""interest_coverage"": 15.9, ""ebitda_margin"": 90.0, ""pat_margin"": 62.7}",370,200,2026-03-12T13:20:09.026763
CAM_00400,COMP_00400,L82796OR2010PLC000400,Basic Materials,-0.460285,0.8419,normal,normal,"{""dscr"": 53.2, ""debt_to_equity"": 16.2, ""interest_coverage"": 33.5, ""ebitda_margin"": 10.8, ""pat_margin"": 15.7}",370,200,2026-03-12T13:20:09.026986
CAM_00412,COMP_00412,L83145MP2010PLC000412,Basic Materials,-0.451785,0.8737,normal,normal,"{""dscr"": 28.1, ""debt_to_equity"": 34.6, ""interest_coverage"": 15.1, ""ebitda_margin"": 21.9, ""pat_margin"": 17.3}",370,200,2026-03-12T13:20:09.027198
CAM_00435,COMP_00435,L63052JH2010PLC000435,Basic Materials,-0.445562,0.8971,normal,normal,"{""dscr"": 25.9, ""debt_to_equity"": 64.3, ""interest_coverage"": 43.0, ""ebitda_margin"": 73.8, ""pat_margin"": 65.1}",370,200,2026-03-12T13:20:09.027385
CAM_00455,COMP_00455,L38795NL2010PLC000455,Basic Materials,-0.45309,0.8689,normal,normal,"{""dscr"": 13.0, ""debt_to_equity"": 94.1, ""interest_coverage"": 12.7, ""ebitda_margin"": 34.9, ""pat_margin"": 23.0}",370,200,2026-03-12T13:20:09.027655
CAM_00464,COMP_00464,L47560NL2010PLC000464,Basic Materials,-0.435242,0.9358,normal,normal,"{""dscr"": 79.5, ""debt_to_equity"": 21.4, ""interest_coverage"": 80.5, ""ebitda_margin"": 65.9, ""pat_margin"": 73.8}",370,200,2026-03-12T13:20:09.027865
CAM_00487,COMP_00487,L37953TR2010PLC000487,Basic Materials,-0.500178,0.6923,normal,normal,"{""dscr"": 11.6, ""debt_to_equity"": 95.4, ""interest_coverage"": 18.1, ""ebitda_margin"": 94.6, ""pat_margin"": 68.6}",370,200,2026-03-12T13:20:09.028045
CAM_00489,COMP_00489,L86504NL2010PLC000489,Basic Materials,-0.574827,0.4125,outlier,anomalous,"{""dscr"": 96.5, ""debt_to_equity"": 3.0, ""interest_coverage"": 97.3, ""ebitda_margin"": 25.4, ""pat_margin"": 51.4}",370,200,2026-03-12T13:20:09.028219
CAM_00490,COMP_00490,L79640PY2010PLC000490,Basic Materials,-0.421822,0.9861,normal,normal,"{""dscr"": 36.2, ""debt_to_equity"": 55.9, ""interest_coverage"": 40.8, ""ebitda_margin"": 59.5, ""pat_margin"": 54.9}",370,200,2026-03-12T13:20:09.028392
CAM_00492,COMP_00492,L36385AP2010PLC000492,Basic Materials,-0.41866,0.9979,normal,normal,"{""dscr"": 57.6, ""debt_to_equity"": 38.1, ""interest_coverage"": 60.8, ""ebitda_margin"": 47.8, ""pat_margin"": 55.1}",370,200,2026-03-12T13:20:09.028648
CAM_00493,COMP_00493,L63563BR2010PLC000493,Basic Materials,-0.507032,0.6666,normal,normal,"{""dscr"": 6.8, ""debt_to_equity"": 75.1, ""interest_coverage"": 6.5, ""ebitda_margin"": 9.5, ""pat_margin"": 1.1}",370,200,2026-03-12T13:20:09.028859
CAM_00508,COMP_00508,L92383TS2010PLC000508,Basic Materials,-0.443823,0.9036,normal,normal,"{""dscr"": 42.4, ""debt_to_equity"": 75.9, ""interest_coverage"": 41.9, ""ebitda_margin"": 87.6, ""pat_margin"": 76.8}",370,200,2026-03-12T13:20:09.029037
CAM_00510,COMP_00510,L33090TN2010PLC000510,Basic Materials,-0.464945,0.8244,normal,normal,"{""dscr"": 29.7, ""debt_to_equity"": 78.9, ""interest_coverage"": 31.4, ""ebitda_margin"": 94.3, ""pat_margin"": 79.5}",370,200,2026-03-12T13:20:09.029210
CAM_00514,COMP_00514,L77529CG2010PLC000514,Basic Materials,-0.436697,0.9303,normal,normal,"{""dscr"": 9.2, ""debt_to_equity"": 70.8, ""interest_coverage"": 16.5, ""ebitda_margin"": 43.8, ""pat_margin"": 30.5}",370,200,2026-03-12T13:20:09.029378
CAM_00516,COMP_00516,L77400KL2010PLC000516,Basic Materials,-0.487346,0.7404,normal,normal,"{""dscr"": 91.9, ""debt_to_equity"": 5.7, ""interest_coverage"": 88.9, ""ebitda_margin"": 58.4, ""pat_margin"": 72.7}",370,200,2026-03-12T13:20:09.029637
CAM_00530,COMP_00530,L44146TS2010PLC000530,Basic Materials,-0.437305,0.928,normal,normal,"{""dscr"": 65.9, ""debt_to_equity"": 18.1, ""interest_coverage"": 63.0, ""ebitda_margin"": 30.5, ""pat_margin"": 41.4}",370,200,2026-03-12T13:20:09.029851
CAM_00545,COMP_00545,L75024KA2010PLC000545,Basic Materials,-0.427119,0.9662,normal,normal,"{""dscr"": 61.6, ""debt_to_equity"": 31.6, ""interest_coverage"": 55.7, ""ebitda_margin"": 55.9, ""pat_margin"": 58.9}",370,200,2026-03-12T13:20:09.030038
CAM_00553,COMP_00553,L25287TR2010PLC000553,Basic Materials,-0.47628,0.7819,normal,normal,"{""dscr"": 14.1, ""debt_to_equity"": 98.9, ""interest_coverage"": 5.1, ""ebitda_margin"": 49.5, ""pat_margin"": 22.7}",370,200,2026-03-12T13:20:09.030217
CAM_00562,COMP_00562,L53761JH2010PLC000562,Basic Materials,-0.470367,0.8041,normal,normal,"{""dscr"": 81.1, ""debt_to_equity"": 20.8, ""interest_coverage"": 85.4, ""ebitda_margin"": 15.9, ""pat_margin"": 33.2}",370,200,2026-03-12T13:20:09.030387
CAM_00572,COMP_00572,L79200MH2010PLC000572,Basic Materials,-0.45644,0.8563,normal,normal,"{""dscr"": 23.2, ""debt_to_equity"": 50.8, ""interest_coverage"": 20.3, ""ebitda_margin"": 71.1, ""pat_margin"": 50.8}",370,200,2026-03-12T13:20:09.030581
CAM_00576,COMP_00576,L56741OR2010PLC000576,Basic Materials,-0.434964,0.9368,normal,normal,"{""dscr"": 18.9, ""debt_to_equity"": 79.5, ""interest_coverage"": 35.4, ""ebitda_margin"": 64.6, ""pat_margin"": 56.5}",370,200,2026-03-12T13:20:09.030759
CAM_00578,COMP_00578,L70382JH2010PLC000578,Basic Materials,-0.427317,0.9655,normal,normal,"{""dscr"": 63.8, ""debt_to_equity"": 61.1, ""interest_coverage"": 58.6, ""ebitda_margin"": 49.7, ""pat_margin"": 55.4}",370,200,2026-03-12T13:20:09.030945
CAM_00596,COMP_00596,L31922BR2010PLC000596,Basic Materials,-0.428782,0.96,normal,normal,"{""dscr"": 35.7, ""debt_to_equity"": 39.5, ""interest_coverage"": 38.4, ""ebitda_margin"": 33.0, ""pat_margin"": 34.9}",370,200,2026-03-12T13:20:09.031116
CAM_00606,COMP_00606,L58850SK2010PLC000606,Basic Materials,-0.519509,0.6198,normal,normal,"{""dscr"": 2.4, ""debt_to_equity"": 97.3, ""interest_coverage"": 10.5, ""ebitda_margin"": 11.4, ""pat_margin"": 3.5}",370,200,2026-03-12T13:20:09.031285
CAM_00611,COMP_00611,L74781OR2010PLC000611,Basic Materials,-0.423301,0.9805,normal,normal,"{""dscr"": 54.9, ""debt_to_equity"": 47.0, ""interest_coverage"": 50.3, ""ebitda_margin"": 48.4, ""pat_margin"": 52.2}",370,200,2026-03-12T13:20:09.031457
