SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,sector,project_sector,company_id,case_id,gstin,revenue_cr,profit_cr,debt_cr,equity_cr,interest_expense_cr,scenario_type,trend_type
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-SEP-2017,10,1,INE674K01013,10,Financial Services,NBFC,COMP_00024,CAM_00024,32ICFGZ2465A1Z6,592.3135712246326,31.967733325467595,333.2659784391841,269.5508819754661,20.759423182731904,normal,stable
ABCOTS,A B Cotspin India Limited,EQ,24-SEP-2025,10,1,INE08PH01015,10,Consumer Cyclical,Retail,COMP_00025,CAM_00025,25GOKDP1266T1Z9,158.9216955347466,24.76757920405032,44.89462423185068,74.84343198807301,2.7958758431387394,normal,stable
ABDL,Allied Blenders and Distillers Limited,EQ,02-JUL-2024,2,1,INE552Z01027,2,Consumer Defensive,Retail,COMP_00026,CAM_00026,13CSJUI2888A1Z2,211.26844945152928,14.19170731880465,82.26672578347953,129.23538905433168,7.657757849997617,normal,stable
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10,1,INE647O01011,10,Consumer Cyclical,Retail,COMP_00027,CAM_00027,31YOZDC6905O1Z1,115.76607386796144,13.012966333081982,73.48394224800381,78.7759910146352,6.578609998070758,normal,declining
ABINFRA,A B Infrabuild Limited,EQ,08-NOV-2024,1,1,INE00YB01025,1,Industrials,Manufacturing,COMP_00028,CAM_00028,17TGLBD7962M1Z8,277.98814801054965,40.58715397076039,331.26597611837144,221.5361393891513,32.456584636655265,moderate_anomaly,growing
ABLBL,Aditya Birla Lifestyle Brands Limited,EQ,23-JUN-2025,10,1,INE14LE01019,10,Consumer Cyclical,Retail,COMP_00029,CAM_00029,32MATOT7718V1Z7,37.14394225847032,4.474856896185082,13.33606380971753,28.85729897621434,1.592495559992855,moderate_anomaly,stable
ABMINTLLTD,ABM International Limited,BE,09-SEP-2021,10,1,INE251C01025,10,Basic Materials,Manufacturing,COMP_00030,CAM_00030,34WPUNW9760L1Z1,314.3687712483133,47.25218154994653,238.09261669922648,212.29853107159656,19.97085316313283,normal,declining
ABREL,Aditya Birla Real Estate Limited,EQ,27-JUN-2003,10,1,INE055A01016,10,Real Estate,Infrastructure,COMP_00031,CAM_00031,26RTFQX7278S1Z9,873.77723666848,99.71310861244086,326.11407989626684,510.3726623987719,38.48797007844793,normal,growing
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-OCT-2021,5,1,INE404A01024,5,Financial Services,NBFC,COMP_00032,CAM_00032,17VJFCJ7007L1Z2,770.8061584895966,78.00432434325816,499.47630079790105,382.9191430998218,14.822513991439395,normal,declining
ACC,ACC Limited,EQ,20-NOV-1996,10,1,INE012A01025,10,Basic Materials,Manufacturing,COMP_00033,CAM_00033,15IQZZM6342W1Z7,99.26007121878284,6.741277625919621,32.17596426514555,52.41128804542558,2.6166157076480374,normal,stable
ACCELYA,Accelya Solutions India Limited,EQ,01-DEC-1999,10,1,INE793A01012,10,Technology,IT,COMP_00034,CAM_00034,17EGCRT9345L1Z4,400.7231611300523,54.47574153921836,200.56199377760768,231.40543550568043,23.5481077834972,normal,growing
ACCURACY,Accuracy Shipping Limited,EQ,11-DEC-2020,1,1,INE648Z01023,1,Industrials,Manufacturing,COMP_00035,CAM_00035,26KLZVF5354N1Z9,191.86253277560456,13.556360528814436,149.8406608443457,130.1061277705796,11.50701655645004,normal,volatile
ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,2,1,INE731H01025,2,Industrials,Manufacturing,COMP_00036,CAM_00036,23XGGKC0013Z1Z6,224.4648200798512,16.61110698124864,250.3074325335965,169.88371069945046,24.79081484158672,normal,growing
ACEINTEG,Ace Integrated Solutions Limited,EQ,04-NOV-2022,10,1,INE543V01017,10,Industrials,Manufacturing,COMP_00037,CAM_00037,12IXKBM1804N1Z1,85.46410446714047,13.880044532305105,48.299933160148825,51.47052308198471,5.756506031155952,moderate_anomaly,growing
ACI,Archean Chemical Industries Limited,EQ,21-NOV-2022,2,1,INE128X01021,2,Basic Materials,Manufacturing,COMP_00038,CAM_00038,24YPMHO4612G1Z8,42.3658776169146,4.509127129392118,33.48909925219816,28.6673959586316,2.8295253704976497,moderate_anomaly,growing
ACL,Andhra Cements Limited,EQ,10-MAY-2023,10,1,INE666E01020,10,Basic Materials,Manufacturing,COMP_00039,CAM_00039,22GVYZB2641S1Z1,166.14041114433252,19.885643881566946,48.70159622629382,88.18165245659397,3.881191845707384,extreme_anomaly,stable
ACMESOLAR,Acme Solar Holdings Limited,EQ,13-NOV-2024,2,1,INE622W01025,2,Utilities,Infrastructure,COMP_00040,CAM_00040,23EZULZ9793T1Z3,288.1445737929495,16.08945125149297,172.59888069325086,142.77822582981727,16.02838192108349,normal,stable
ACUTAAS,Acutaas Chemicals Limited,EQ,14-SEP-2021,5,1,INE00FF01025,5,Basic Materials,Manufacturing,COMP_00041,CAM_00041,25QOILI0599X1Z4,327.7543639927973,26.04916480204873,204.3341602942742,161.12782602114947,15.040490971944836,normal,stable
ADANIENSOL,Adani Energy Solutions Limited,EQ,31-JUL-2015,10,1,INE931S01010,10,Utilities,Infrastructure,COMP_00042,CAM_00042,16RCEVN7284I1Z8,832.2554815946024,99.71310861244086,204.27839823902232,510.3726623987719,12.756551046332698,moderate_anomaly,growing
ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,1,1,INE423A01024,1,Energy,Infrastructure,COMP_00043,CAM_00043,16PJWYD3316L1Z8,873.77723666848,99.71310861244086,499.47630079790105,510.3726623987719,39.30807057452182,normal,growing
ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018,10,1,INE364U01010,10,Utilities,Infrastructure,COMP_00044,CAM_00044,31DZSDK4888L1Z6,873.77723666848,99.57185784573863,291.4167243210255,510.3726623987719,27.484996500463435,normal,volatile
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2,1,INE742F01042,2,Industrials,Manufacturing,COMP_00045,CAM_00045,14HOVQK4920X1Z8,45.12380661652445,8.028402518832099,13.098424449733818,31.4384950036577,1.2452664742961452,normal,stable
ADANIPOWER,Adani Power Limited,EQ,20-AUG-2009,2,1,INE814H01029,2,Utilities,Infrastructure,COMP_00046,CAM_00046,15IKDZJ8573A1Z3,873.77723666848,88.78302752008771,312.1895148639716,486.8103128212109,18.71950913831966,moderate_anomaly,stable
ADFFOODS,ADF Foods Limited,EQ,15-SEP-2010,2,1,INE982B01027,2,Consumer Defensive,Retail,COMP_00047,CAM_00047,27ACWCK2650E1Z7,236.32090877742053,13.212640360103151,179.93078397509746,177.97501892491798,20.33899666048491,normal,stable
ADL,Archidply Decor Limited,EQ,01-OCT-2020,10,1,INE0CHO01012,10,Consumer Cyclical,Retail,COMP_00048,CAM_00048,20QZSAH0121R1Z6,134.9219922649991,14.038594928388934,69.18956211592706,79.75650729931422,4.7117960862186985,normal,declining
ADOR,Ador Welding Limited,EQ,10-MAY-1995,10,1,INE045A01017,10,Industrials,Manufacturing,COMP_00049,CAM_00049,23GFKPA0006B1Z1,169.36218082203135,19.267892089830628,49.20842321095429,112.46259042738696,3.977576802015404,normal,stable
ADROITINFO,Adroit Infotech Limited,EQ,13-AUG-1997,10,1,INE737B01033,10,Technology,IT,COMP_00050,CAM_00050,36AFAKH6530C1Z4,179.03977238163537,16.115607989661484,146.33926835093925,117.96242839247394,7.53790520039811,normal,declining
ADSL,Allied Digital Services Limited,EQ,25-JUL-2007,5,1,INE102I01027,5,Technology,IT,COMP_00051,CAM_00051,22TOGGW1064Z1Z1,79.17570266256115,13.967331658201983,67.7406995919291,60.20837989869543,5.067950223545734,normal,growing
ADVAIT,Advait Energy Transitions Limited,EQ,20-JAN-2026,10,1,INE0ALI01010,10,Industrials,Manufacturing,COMP_00052,CAM_00052,24YETLJ9295D1Z4,53.63608928858426,3.2432002584043924,38.0551342125704,30.643203301105963,2.433800830282314,normal,growing
ADVANCE,Advance Agrolife Limited,EQ,08-OCT-2025,10,1,INE1B0W01010,10,Basic Materials,Manufacturing,COMP_00053,CAM_00053,33PDAHF1491W1Z2,376.4633804202625,37.79883659116494,190.3190984062749,256.8348968393796,12.550774222127366,normal,stable
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-JUN-2007,2,1,INE199C01026,2,Consumer Cyclical,Retail,COMP_00054,CAM_00054,32VTWHU8593L1Z6,62.80665054825261,4.284371816980382,45.06328629214581,44.21354755947349,2.6215152960253394,extreme_anomaly,growing
ADVENTHTL,Advent Hotels International Limited,EQ,13-NOV-2025,10,1,INE28GN01010,10,Consumer Cyclical,Retail,COMP_00055,CAM_00055,14MFMPD3066D1Z9,96.95085153168118,6.819130979120225,24.9683743581967,46.297791783606485,2.1934274321688028,normal,stable
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-AUG-2016,2,1,INE837H01020,2,Basic Materials,Manufacturing,COMP_00056,CAM_00056,21GERNV9009I1Z3,329.4234036427246,21.985971404352075,134.57897506904925,173.98979568618688,12.507090889544472,normal,growing
AEGISLOG,Aegis Logistics Limited,EQ,03-APR-1996,1,1,INE208C01025,1,Energy,Infrastructure,COMP_00057,CAM_00057,23DFZKG3069N1Z5,873.77723666848,99.71310861244086,499.47630079790105,510.3726623987719,35.17609313474335,normal,stable
AEGISVOPAK,Aegis Vopak Terminals Limited,EQ,02-JUN-2025,10,1,INE0INX01018,10,Energy,Infrastructure,COMP_00058,CAM_00058,20BTZNI7347V1Z3,153.24498536658024,10.608886371610442,55.08008472992702,81.38536259370296,5.866439660552067,normal,stable
AEQUS,Aequs Limited,EQ,10-DEC-2025,10,1,INE947N01017,10,Industrials,Manufacturing,COMP_00059,CAM_00059,30AGOMZ7065N1Z6,195.14531156025143,9.867987808586248,189.02585649127897,132.20090861543164,13.97499546901989,normal,stable
AEROENTER,Aeroflex Enterprises Limited,EQ,21-NOV-2022,2,1,INE065D01027,2,Basic Materials,Manufacturing,COMP_00060,CAM_00060,30EFCCJ8718O1Z9,474.1634725068398,60.39857466709248,89.87060197701719,242.73312108158407,7.054452192329517,normal,stable
AEROFLEX,Aeroflex Industries Limited,EQ,31-AUG-2023,2,1,INE024001021,2,Industrials,Manufacturing,COMP_00061,CAM_00061,13WGHAY8587J1Z5,362.0972836733728,54.218498008246,108.51944717286337,242.9528042169877,11.272519493721012,normal,stable
AERONEU,Aeroflex Neu Limited,EQ,12-JAN-2023,10,1,INE035801013,10,Consumer Cyclical,Retail,COMP_00062,CAM_00062,20AEXXJ6749X1Z8,180.1970069334892,20.965745247988902,98.10502158245316,141.48866403495148,11.660897805995443,normal,declining
AETHER,Aether Industries Limited,EQ,03-JUN-2022,10,1,INE0BWX01014,10,Basic Materials,Manufacturing,COMP_00063,CAM_00063,10FMWER2118B1Z9,452.5971836993337,51.18222467822984,268.43418600682463,306.61162998971514,18.50522342323553,normal,growing
AFCONS,Afcons Infrastructure Limited,EQ,04-NOV-2024,10,1,INE101I01011,10,Industrials,Manufacturing,COMP_00064,CAM_00064,12PRIQD1757H1Z4,139.6709550642839,24.68424750026682,52.43671294155499,105.84339261002287,4.847055703396805,normal,growing
AFFLE,Affle 3i Limited,EQ,08-AUG-2019,2,1,INE00WC01027,2,Communication Services,IT,COMP_00065,CAM_00065,21YWZOW2769H1Z4,559.2207175429312,36.93400946473104,190.7699415203249,309.54664154057906,11.82476149103443,moderate_anomaly,growing
AFFORDABLE,Affordable Robotic & Automation Limited,EQ,23-OCT-2024,10,1,INE692Z01013,10,Industrials,Manufacturing,COMP_00066,CAM_00066,29MAHTA4232C1Z4,119.75372439156948,12.45815259223284,49.521420336577975,81.92626491315201,3.5436701959653445,normal,stable
AFIL,Akme Fintrade (India) Limited,BE,26-JUN-2024,1,1,INE916Y01027,1,Financial Services,NBFC,COMP_00067,CAM_00067,20GVEYH3268M1Z7,116.39101051700504,16.934564105809443,108.20502481499517,72.13668320999678,3.803299835926856,normal,declining
AFSL,Abans Financial Services Limited,EQ,23-DEC-2022,2,1,INE00ZE01026,2,Financial Services,NBFC,COMP_00068,CAM_00068,35UXPIP4309Z1Z4,764.5025974700612,91.80389933395897,499.47630079790105,510.3726623987719,16.092552389508636,moderate_anomaly,stable
AGARIND,Agarwal Industrial Corporation Limited,EQ,26-MAY-2014,10,1,INE204E01012,10,Basic Materials,Manufacturing,COMP_00069,CAM_00069,35RAKUB8965P1Z4,431.0883943078056,76.27790713733869,106.37756370940193,308.0179997871303,6.649846240441442,normal,declining
AGARWALEYE,Dr. Agarwal's Health Care Limited,EQ,04-FEB-2025,1,1,INE943P01029,1,Healthcare,Pharma,COMP_00070,CAM_00070,32WXRDF1258A1Z7,662.318781047961,64.05963767352885,414.1504165032847,392.4825498227093,36.82781500705197,extreme_anomaly,stable
AGI,AGI Greenpac Limited,EQ,31-MAY-2000,2,1,INE415A01038,2,Consumer Cyclical,Retail,COMP_00071,CAM_00071,29BCXWA8728Y1Z9,210.3735826598305,30.60548226125358,113.79862641206093,95.45364230870432,11.583134371170368,normal,stable
AGIIL,Agi Infra Limited,EQ,15-JUL-2024,1,1,INE976R01033,1,Real Estate,Infrastructure,COMP_00072,CAM_00072,25DXCRN7327T1Z2,873.77723666848,67.11907728410114,441.530144553425,510.3726623987719,23.759339700465343,normal,volatile
AGRITECH,Agri-Tech (India) Limited,BE,28-JAN-2014,10,1,INE449G01018,10,Consumer Defensive,Retail,COMP_00073,CAM_00073,33BCGAQ6182Q1Z8,256.93242808777006,38.52529023101834,177.34053479998468,155.9925671453339,20.3553353330469,normal,growing
AGROPHOS,Agro Phos India Limited,EQ,08-MAR-2019,10,1,INE740V01019,10,Basic Materials,Manufacturing,COMP_00074,CAM_00074,36EADTT0334N1Z6,219.6525343858568,14.63642229986504,127.58331572757876,95.98937519047448,8.175355075230778,extreme_anomaly,growing
AGSTRA,AGS Transact Technologies Limited,BZ,31-JAN-2022,10,1,INE583L01014,10,Technology,IT,COMP_00075,CAM_00075,16ACPKY4193B1Z9,158.08603239272117,28.13359426532332,165.7417934819566,115.41191342266632,16.105502903885284,moderate_anomaly,stable
AHCL,Anlon Healthcare Limited,EQ,03-SEP-2025,10,1,INE0Y8W01017,10,Healthcare,Pharma,COMP_00076,CAM_00076,35TMARC5226C1Z9,621.6275511664153,49.03818934663324,499.47630079790105,496.1020548211919,39.30807057452182,normal,growing
AHLADA,Ahlada Engineers Limited,EQ,28-JAN-2021,10,1,INE00PV01013,10,Industrials,Manufacturing,COMP_00077,CAM_00077,17VGIEI1720U1Z9,309.76580315124704,53.39653377237239,244.4176450544222,190.13603055328585,21.922903535687148,normal,stable
AHLEAST,Asian Hotels (East) Limited,EQ,11-AUG-2010,10,1,INE926K01017,10,Consumer Cyclical,Retail,COMP_00078,CAM_00078,31MCYUG2392A1Z7,252.54145625214795,42.182388307746926,107.70754080774118,190.27427162145145,8.743392396152556,normal,volatile
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-DEC-2009,2,1,INE758C01029,2,Industrials,Manufacturing,COMP_00079,CAM_00079,16RPGLA7256J1Z7,263.63207497449605,46.42581099202633,162.9930353141479,181.7839200025484,15.21383373831394,normal,growing
AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,2,1,INE212H01026,2,Industrials,Manufacturing,COMP_00080,CAM_00080,10XGIHV7033M1Z1,489.4416687765005,57.87427059442359,115.30574789739664,320.3163543460338,7.890201626372281,normal,growing
AIIL,Authum Investment & Infrastructure Limited,EQ,23-APR-2024,1,1,INE206F01022,1,Financial Services,NBFC,COMP_00081,CAM_00081,17IRPHA0163S1Z7,180.7396596141406,25.04901790148985,134.81534520629867,89.87689680419912,7.231857002690565,normal,volatile
AIRAN,Airan Limited,EQ,03-MAY-2019,2,1,INE645W01026,2,Technology,IT,COMP_00082,CAM_00082,16VBALE2306V1Z9,465.2989588501972,41.86467814837973,197.11219254493085,359.6194044248143,12.68547964466566,normal,stable
AIROLAM,Airo Lam limited,EQ,13-OCT-2021,10,1,INE801L01010,10,Consumer Cyclical,Retail,COMP_00083,CAM_00083,18FPHWY6860C1Z5,94.59402145231287,6.9631913621208685,22.030593004340925,47.65089413045214,1.179830217173782,normal,growing
AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,2,1,INE031B01049,2,Healthcare,Pharma,COMP_00084,CAM_00084,34DGSLI7729X1Z9,123.74238212478612,8.724046377924187,45.26416792271841,63.02046521142248,2.949975017257816,moderate_anomaly,growing
AJAXENGG,Ajax Engineering Limited,EQ,17-FEB-2025,1,1,INE274Y01021,1,Industrials,Manufacturing,COMP_00085,CAM_00085,31TSUOH3978P1Z5,431.2737201737109,61.888173959926256,139.323788985096,282.2543515836651,14.165527629895676,normal,declining
AJMERA,Ajmera Realty & Infra India Limited,EQ,16-JUN-2009,2,1,INE298G01035,2,Real Estate,Infrastructure,COMP_00086,CAM_00086,36XWSAK1120I1Z5,548.2296613872323,59.27297497034154,283.9605342075038,406.5913782828443,22.78011898206493,normal,volatile
AJOONI,Ajooni Biotech Limited,EQ,07-MAY-2021,2,1,INE820Y01021,2,Consumer Defensive,Retail,COMP_00087,CAM_00087,16PPLLK3877Q1Z9,102.99718947718048,16.091322339813505,36.7096750687526,52.82960283799278,4.403405666920907,moderate_anomaly,stable
AKASH,Akash Infra-Projects Limited,EQ,11-OCT-2019,10,1,INE737W01013,10,Industrials,Manufacturing,COMP_00088,CAM_00088,14WCYOF0452N1Z2,410.4202527759881,42.48611013380857,145.37803218332886,313.0690533801686,14.782332937523345,extreme_anomaly,growing
AKG,Akg Exim Limited,EQ,16-FEB-2021,10,1,INE00Y801016,10,Industrials,Manufacturing,COMP_00089,CAM_00089,15PRRMF7031I1Z1,239.8134514287162,42.91525846463154,187.6318383964698,170.33943651300754,13.888438083088404,normal,stable
AKI,AKI India Limited,EQ,06-APR-2023,2,1,INE642Z01026,2,Consumer Cyclical,Retail,COMP_00090,CAM_00090,16EKUSE4433N1Z9,286.1273601970504,20.989767550424222,94.73730750756378,189.84591425184388,5.644854679478429,normal,volatile
AKSHAR,Akshar Spintex Limited,EQ,23-MAY-2022,1,1,INE256Z01025,1,Consumer Cyclical,Retail,COMP_00091,CAM_00091,27KKTBS3310J1Z7,257.4907220538368,16.96578848845048,61.18294024190496,108.20506067314892,4.515719572216141,normal,stable
AKSHARCHEM,AksharChem India Limited,EQ,28-MAR-2017,10,1,INE542B01011,10,Basic Materials,Manufacturing,COMP_00092,CAM_00092,32OQEHU4974S1Z2,118.66403229755976,12.397737882313365,98.1272672067818,79.97523426045208,10.38651427402742,normal,declining
AKSHOPTFBR,Aksh Optifibre Limited,EQ,18-AUG-2000,5,1,INE523B01011,5,Technology,IT,COMP_00093,CAM_00093,34JWCGJ8612S1Z3,487.21269310267047,61.122656985465454,147.6805746394076,225.398286777486,11.082545581328713,normal,declining
AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,06-AUG-2024,2,1,INE09XN01023,2,Healthcare,Pharma,COMP_00094,CAM_00094,31XJPNF7181C1Z6,284.4409241150037,37.51790252898117,131.5049299588071,182.88912906723817,6.871317500004883,normal,declining
AKZOINDIA,Akzo Nobel India Limited,EQ,28-JUN-2001,10,1,INE133A01011,10,Basic Materials,Manufacturing,COMP_00095,CAM_00095,10RQZJX9023O1Z2,301.03738434955955,33.781197480591715,62.17975343626258,153.32196995065,5.264407303844415,moderate_anomaly,growing
ALANKIT,Alankit Limited,EQ,30-JUN-2015,1,1,INE914E01040,1,Technology,IT,COMP_00096,CAM_00096,17MEGXL2539K1Z7,646.0673188975691,70.51691324722901,311.995701352821,496.5058529950786,21.42905279503133,normal,stable
ALBERTDAVD,Albert David Limited,EQ,14-JUN-2016,10,1,INE155C01010,10,Healthcare,Pharma,COMP_00097,CAM_00097,28HVEOO9387C1Z8,509.979660544886,72.32290204199545,254.22885994334928,206.97065599961525,16.174443377978392,normal,stable
ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,2,1,INE426A01027,2,Real Estate,Infrastructure,COMP_00098,CAM_00098,22UULUB2881C1Z1,595.951015333356,48.32978788206956,452.6772858425936,389.6286677021154,35.669136194706624,normal,volatile
ALGOQUANT,Algoquant Fintech Limited,EQ,06-JAN-2026,1,1,INE598D01035,1,Financial Services,NBFC,COMP_00099,CAM_00099,13MNLZT6350K1Z1,267.6225899026391,45.040498893964944,287.2507297467924,196.80876884219737,25.81346795541589,normal,stable
ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006,5,1,INE062D01024,5,Industrials,Manufacturing,COMP_00100,CAM_00100,18HRKQT8758Z1Z6,108.409729541207,12.979218747698228,41.91291962651789,65.21394773203723,3.0036497271006413,normal,stable
ALIVUS,Alivus Life Sciences Limited,EQ,06-AUG-2021,2,1,INE03Q201024,2,Healthcare,Pharma,COMP_00101,CAM_00101,31AYGKU3095M1Z1,336.55330262850646,58.92844894263002,186.0444447929585,195.68305865191783,11.816006949923674,normal,declining
ALKALI,Alkali Metals Limited,EQ,06-NOV-2008,10,1,INE773I01017,10,Basic Materials,Manufacturing,COMP_00102,CAM_00102,23HDQBJ4436W1Z4,201.4367775133512,10.658964046407949,67.0655424982616,159.7746641213816,3.4454788335702085,normal,stable
ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2,1,INE540L01014,2,Healthcare,Pharma,COMP_00103,CAM_00103,28WJJDC2075G1Z4,582.3606132678802,99.71310861244086,228.63604381400367,362.34993997619927,23.19685382652022,normal,stable
