case_id,company_id,assessment_year,financial_year,declared_gross_income,declared_net_income,total_tax_paid,depreciation_claimed,director_remuneration_total,itr_vs_financials_profit_divergence,cross_verification_flag,extraction_confidence_score,source_document_id,processed_timestamp
CAM_00004,COMP_00004,AY2023-24,FY2022-23,2969802406.54,441905771.81,110182516.7,284220358.26,5308437.44,0.0,False,86.29,ITR_DOC_COMP_00004,2026-03-09 14:54:07.510236
CAM_00004,COMP_00004,AY2024-25,FY2023-24,2971123415.52,501690768.39,115928388.87,217427837.4,15656725.35,0.0,False,87.81,ITR_DOC_COMP_00004,2026-03-09 14:54:07.510236
CAM_00005,COMP_00005,AY2022-23,FY2021-22,938643484.56,99809891.67,19986539.58,88254250.15,3837841.27,-1265362.2,False,90.91,ITR_DOC_COMP_00005,2026-03-09 14:54:07.510236
CAM_00005,COMP_00005,AY2023-24,FY2022-23,926281754.56,101838544.13,24901600.59,62201644.87,3670429.2,4319885.55,False,98.97,ITR_DOC_COMP_00005,2026-03-09 14:54:07.510236
CAM_00005,COMP_00005,AY2024-25,FY2023-24,937681522.01,119269148.07,23912425.73,43665513.32,1689217.4,18538132.79,True,92.95,ITR_DOC_COMP_00005,2026-03-09 14:54:07.510236
CAM_00006,COMP_00006,AY2022-23,FY2021-22,1461952764.53,130164368.74,28139822.75,98308158.96,5560211.87,0.0,False,94.52,ITR_DOC_COMP_00006,2026-03-09 14:54:07.510236
CAM_00006,COMP_00006,AY2023-24,FY2022-23,1392859013.53,125931745.29,26635721.69,139301614.63,2614592.49,0.0,False,94.51,ITR_DOC_COMP_00006,2026-03-09 14:54:07.510236
CAM_00006,COMP_00006,AY2024-25,FY2023-24,1385107514.44,115982668.73,24333410.83,156075128.52,4743862.3,0.0,False,98.65,ITR_DOC_COMP_00006,2026-03-09 14:54:07.510236
CAM_00007,COMP_00007,AY2022-23,FY2021-22,2443646852.74,276376520.73,62421076.76,264534056.29,7992997.67,-5365993.77,False,87.43,ITR_DOC_COMP_00007,2026-03-09 14:54:07.510236
CAM_00007,COMP_00007,AY2023-24,FY2022-23,2443516544.77,286818005.01,59014386.51,109557320.84,10718753.53,0.0,False,94.97,ITR_DOC_COMP_00007,2026-03-09 14:54:07.510236
CAM_00007,COMP_00007,AY2024-25,FY2023-24,2599191399.56,316920770.9,74039220.9,274090755.57,8506481.27,20375323.49,False,90.4,ITR_DOC_COMP_00007,2026-03-09 14:54:07.510236
CAM_00008,COMP_00008,AY2022-23,FY2021-22,268179656.44,19194930.68,3973418.56,23436577.68,594161.86,0.0,False,94.63,ITR_DOC_COMP_00008,2026-03-09 14:54:07.510236
CAM_00008,COMP_00008,AY2023-24,FY2022-23,273654143.34,17105753.65,4012778.72,26542221.44,568910.79,0.0,False,93.69,ITR_DOC_COMP_00008,2026-03-09 14:54:07.510236
CAM_00008,COMP_00008,AY2024-25,FY2023-24,269755814.4,20185357.46,4843970.11,15685179.01,539599.24,0.0,False,93.11,ITR_DOC_COMP_00008,2026-03-09 14:54:07.510236
CAM_00009,COMP_00009,AY2022-23,FY2021-22,310488162.84,43657779.08,9517666.39,20376500.67,2075183.63,-2697888.01,False,94.84,ITR_DOC_COMP_00009,2026-03-09 14:54:07.510236
CAM_00009,COMP_00009,AY2023-24,FY2022-23,317146295.35,46053671.59,9634764.44,30280203.25,2126683.59,-287525.34,False,85.72,ITR_DOC_COMP_00009,2026-03-09 14:54:07.510236
CAM_00009,COMP_00009,AY2024-25,FY2023-24,307066840.02,47164365.76,10734575.81,21870245.15,2199050.43,922311.32,False,86.13,ITR_DOC_COMP_00009,2026-03-09 14:54:07.510236
CAM_00010,COMP_00010,AY2022-23,FY2021-22,3146867093.04,186031630.19,43656331.38,146066285.11,2282656.32,0.0,False,96.41,ITR_DOC_COMP_00010,2026-03-09 14:54:07.510236
CAM_00010,COMP_00010,AY2023-24,FY2022-23,2897925181.65,192116195.63,39611005.65,342878779.89,3334550.63,0.0,False,90.63,ITR_DOC_COMP_00010,2026-03-09 14:54:07.510236
CAM_00010,COMP_00010,AY2024-25,FY2023-24,3118707924.64,183097237.22,36656596.69,319965282.29,5374026.28,0.0,False,90.62,ITR_DOC_COMP_00010,2026-03-09 14:54:07.510236
CAM_00011,COMP_00011,AY2022-23,FY2021-22,9028365483.89,645898988.09,157004337.39,832578936.47,24803314.89,0.0,False,91.24,ITR_DOC_COMP_00011,2026-03-09 14:54:07.510236
CAM_00011,COMP_00011,AY2023-24,FY2022-23,8608407131.4,576156556.14,129353350.76,535564622.23,17412866.45,18717131.08,False,98.02,ITR_DOC_COMP_00011,2026-03-09 14:54:07.510236
CAM_00011,COMP_00011,AY2024-25,FY2023-24,8369756193.94,519144035.98,119366359.16,407088703.99,23393267.27,-40227444.19,False,90.72,ITR_DOC_COMP_00011,2026-03-09 14:54:07.510236
CAM_00012,COMP_00012,AY2022-23,FY2021-22,5500454427.06,838473872.33,193153868.47,391688833.6,19620240.16,0.0,False,86.9,ITR_DOC_COMP_00012,2026-03-09 14:54:07.510236
CAM_00012,COMP_00012,AY2023-24,FY2022-23,5651866186.93,992899826.29,200106392.26,523223131.68,39139683.08,0.0,False,91.86,ITR_DOC_COMP_00012,2026-03-09 14:54:07.510236
CAM_00012,COMP_00012,AY2024-25,FY2023-24,5470170178.07,960277841.94,195967550.17,261733954.31,27796172.08,0.0,False,98.44,ITR_DOC_COMP_00012,2026-03-09 14:54:07.510236
CAM_00013,COMP_00013,AY2022-23,FY2021-22,974646301.53,85472015.43,18672401.71,92238844.72,3744881.35,0.0,False,89.25,ITR_DOC_COMP_00013,2026-03-09 14:54:07.510236
CAM_00013,COMP_00013,AY2023-24,FY2022-23,1023919511.26,92637613.71,21917723.63,55911762.64,2741354.26,0.0,False,95.04,ITR_DOC_COMP_00013,2026-03-09 14:54:07.510236
CAM_00013,COMP_00013,AY2024-25,FY2023-24,1035047606.19,92748330.94,18756325.46,77387180.12,1818048.94,0.0,False,98.57,ITR_DOC_COMP_00013,2026-03-09 14:54:07.510236
CAM_00014,COMP_00014,AY2022-23,FY2021-22,3498355309.6,570951735.19,120208757.19,342105355.27,7394899.73,85171029.1,True,98.28,ITR_DOC_COMP_00014,2026-03-09 14:54:07.510236
CAM_00014,COMP_00014,AY2023-24,FY2022-23,3253091903.02,559190293.55,120014986.58,359682938.05,21120259.94,25924537.4,False,86.4,ITR_DOC_COMP_00014,2026-03-09 14:54:07.510236
CAM_00014,COMP_00014,AY2024-25,FY2023-24,3560032143.01,527601980.2,123971303.77,226598823.02,21253816.77,-42484021.66,False,95.69,ITR_DOC_COMP_00014,2026-03-09 14:54:07.510236
CAM_00015,COMP_00015,AY2022-23,FY2021-22,5230059496.42,444279954.94,108875585.21,369924417.99,21464063.31,0.0,False,99.0,ITR_DOC_COMP_00015,2026-03-09 14:54:07.510236
CAM_00015,COMP_00015,AY2023-24,FY2022-23,5120075924.44,517178122.46,107179659.4,329182786.29,10734296.99,0.0,False,85.75,ITR_DOC_COMP_00015,2026-03-09 14:54:07.510236
CAM_00015,COMP_00015,AY2024-25,FY2023-24,5153856216.17,451152915.78,91814118.77,389452621.98,14248708.91,0.0,False,85.99,ITR_DOC_COMP_00015,2026-03-09 14:54:07.510236
CAM_00016,COMP_00016,AY2022-23,FY2021-22,3437255622.39,190942748.5,45533265.02,272697489.96,3854440.48,-7260081.02,False,89.4,ITR_DOC_COMP_00016,2026-03-09 14:54:07.510236
CAM_00016,COMP_00016,AY2023-24,FY2022-23,3346869040.86,191626775.23,46498908.77,205670595.56,3690685.31,0.0,False,87.09,ITR_DOC_COMP_00016,2026-03-09 14:54:07.510236
CAM_00016,COMP_00016,AY2024-25,FY2023-24,3448682955.88,210147026.42,50401153.89,200225719.92,8316000.71,-751208.39,False,94.45,ITR_DOC_COMP_00016,2026-03-09 14:54:07.510236
CAM_00017,COMP_00017,AY2022-23,FY2021-22,1659197567.66,228390548.27,47734422.09,88661996.45,3221140.67,0.0,False,96.62,ITR_DOC_COMP_00017,2026-03-09 14:54:07.510236
CAM_00017,COMP_00017,AY2023-24,FY2022-23,2550020474.13,208427424.06,46077817.22,179411795.78,4873561.14,-11617042.81,False,85.47,ITR_DOC_COMP_00017,2026-03-09 14:54:07.510236
CAM_00017,COMP_00017,AY2024-25,FY2023-24,1744235219.59,218121839.43,50893430.11,117751292.63,4644124.91,-9865384.76,False,94.29,ITR_DOC_COMP_00017,2026-03-09 14:54:07.510236
CAM_00018,COMP_00018,AY2022-23,FY2021-22,2603292423.3,197861404.59,48586144.0,201661824.26,9479971.55,0.0,False,85.35,ITR_DOC_COMP_00018,2026-03-09 14:54:07.510236
CAM_00018,COMP_00018,AY2023-24,FY2022-23,2673944967.85,159370410.06,36566964.92,168669600.41,4883618.87,-11515065.88,False,96.34,ITR_DOC_COMP_00018,2026-03-09 14:54:07.510236
CAM_00018,COMP_00018,AY2024-25,FY2023-24,2552923588.04,167776532.8,37889170.81,298293585.8,4428716.98,0.0,False,91.72,ITR_DOC_COMP_00018,2026-03-09 14:54:07.510236
CAM_00019,COMP_00019,AY2022-23,FY2021-22,1360101208.37,138852464.69,31011756.48,149769588.99,5826993.21,0.0,False,94.27,ITR_DOC_COMP_00019,2026-03-09 14:54:07.510236
CAM_00019,COMP_00019,AY2023-24,FY2022-23,1273788256.8,140975569.56,30030062.92,97333544.72,2329954.98,0.0,False,92.37,ITR_DOC_COMP_00019,2026-03-09 14:54:07.510236
CAM_00019,COMP_00019,AY2024-25,FY2023-24,1338609885.52,154512055.19,32530720.0,94454233.46,6698802.57,0.0,False,98.65,ITR_DOC_COMP_00019,2026-03-09 14:54:07.510236
CAM_00020,COMP_00020,AY2022-23,FY2021-22,3663795999.36,340104946.45,77869181.4,292268760.87,13227908.4,0.0,False,86.98,ITR_DOC_COMP_00020,2026-03-09 14:54:07.510236
CAM_00020,COMP_00020,AY2023-24,FY2022-23,3631550764.52,329650019.39,71115070.24,378987368.68,5659488.09,0.0,False,89.75,ITR_DOC_COMP_00020,2026-03-09 14:54:07.510236
CAM_00020,COMP_00020,AY2024-25,FY2023-24,3657137283.93,411120940.34,101706932.95,435519215.72,18398914.82,22862778.92,False,88.07,ITR_DOC_COMP_00020,2026-03-09 14:54:07.510236
CAM_00021,COMP_00021,AY2022-23,FY2021-22,3193141877.32,330433224.35,75635233.84,142036020.01,27516698.49,-32091299.14,False,95.96,ITR_DOC_COMP_00021,2026-03-09 14:54:07.510236
CAM_00021,COMP_00021,AY2023-24,FY2022-23,3548638563.62,462854290.32,106248359.14,288304028.01,39085767.54,71394552.27,True,90.92,ITR_DOC_COMP_00021,2026-03-09 14:54:07.510236
CAM_00021,COMP_00021,AY2024-25,FY2023-24,3124896200.92,372909733.02,82233533.33,371311495.25,34860637.19,-14622482.22,False,94.73,ITR_DOC_COMP_00021,2026-03-09 14:54:07.510236
CAM_00022,COMP_00022,AY2022-23,FY2021-22,3434328534.18,611342434.82,140924458.72,388326432.49,7496538.3,0.0,False,97.46,ITR_DOC_COMP_00022,2026-03-09 14:54:07.510236
CAM_00022,COMP_00022,AY2023-24,FY2022-23,3521031587.85,548173371.83,129329637.8,174998453.73,15728638.96,9907975.86,False,98.71,ITR_DOC_COMP_00022,2026-03-09 14:54:07.510236
CAM_00022,COMP_00022,AY2024-25,FY2023-24,3291220844.32,525919641.37,126266789.98,266299284.29,21823735.85,0.0,False,93.57,ITR_DOC_COMP_00022,2026-03-09 14:54:07.510236
CAM_00023,COMP_00023,AY2022-23,FY2021-22,585560120.1,33684640.56,8020947.21,53342191.31,1494264.33,0.0,False,94.15,ITR_DOC_COMP_00023,2026-03-09 14:54:07.510236
CAM_00023,COMP_00023,AY2023-24,FY2022-23,592681511.7,35047745.34,8630143.37,54490628.43,466652.72,-430300.39,False,93.93,ITR_DOC_COMP_00023,2026-03-09 14:54:07.510236
CAM_00023,COMP_00023,AY2024-25,FY2023-24,558148756.48,30836168.96,6193420.03,63323019.23,1533607.59,0.0,False,85.67,ITR_DOC_COMP_00023,2026-03-09 14:54:07.510236
CAM_00024,COMP_00024,AY2022-23,FY2021-22,5749401092.34,299807718.24,73121599.92,542166588.02,13424132.8,0.0,False,90.22,ITR_DOC_COMP_00024,2026-03-09 14:54:07.510236
CAM_00024,COMP_00024,AY2023-24,FY2022-23,6051147668.3,346110536.84,83102132.91,310795567.35,14580952.62,0.0,False,86.46,ITR_DOC_COMP_00024,2026-03-09 14:54:07.510236
CAM_00024,COMP_00024,AY2024-25,FY2023-24,5954398364.76,322432580.87,76701019.04,574322202.46,12810163.63,0.0,False,93.01,ITR_DOC_COMP_00024,2026-03-09 14:54:07.510236
CAM_00025,COMP_00025,AY2022-23,FY2021-22,1613270397.52,248412555.75,54508174.13,91850327.75,9185680.1,-10773033.76,False,96.67,ITR_DOC_COMP_00025,2026-03-09 14:54:07.510236
CAM_00025,COMP_00025,AY2023-24,FY2022-23,1514212369.35,270525428.73,61674996.08,93293145.29,10820550.7,0.0,False,94.8,ITR_DOC_COMP_00025,2026-03-09 14:54:07.510236
CAM_00025,COMP_00025,AY2024-25,FY2023-24,1651296399.64,237627978.18,56791892.9,168643835.57,6114008.19,0.0,False,95.0,ITR_DOC_COMP_00025,2026-03-09 14:54:07.510236
CAM_00026,COMP_00026,AY2022-23,FY2021-22,2078363863.84,146677297.58,32020867.95,160354424.68,4177011.21,0.0,False,88.16,ITR_DOC_COMP_00026,2026-03-09 14:54:07.510236
CAM_00026,COMP_00026,AY2023-24,FY2022-23,2056993932.8,147020327.04,35314545.56,102137163.83,6516889.06,0.0,False,98.77,ITR_DOC_COMP_00026,2026-03-09 14:54:07.510236
CAM_00026,COMP_00026,AY2024-25,FY2023-24,2099079846.24,133430230.06,29053252.91,247447077.89,2673172.2,0.0,False,89.13,ITR_DOC_COMP_00026,2026-03-09 14:54:07.510236
CAM_00027,COMP_00027,AY2022-23,FY2021-22,937016772.62,125213069.09,26732880.42,95565562.55,2214283.28,0.0,False,90.36,ITR_DOC_COMP_00027,2026-03-09 14:54:07.510236
CAM_00027,COMP_00027,AY2023-24,FY2022-23,939361541.22,132323193.22,26794610.44,57867517.37,6319488.09,0.0,False,95.25,ITR_DOC_COMP_00027,2026-03-09 14:54:07.510236
CAM_00027,COMP_00027,AY2024-25,FY2023-24,929343466.88,122927202.57,25525090.41,64953557.77,3737316.35,0.0,False,97.19,ITR_DOC_COMP_00027,2026-03-09 14:54:07.510236
CAM_00028,COMP_00028,AY2022-23,FY2021-22,3041754127.61,435448061.48,104364836.72,131633352.02,17524449.38,21841874.29,False,95.7,ITR_DOC_COMP_00028,2026-03-09 14:54:07.510236
CAM_00028,COMP_00028,AY2023-24,FY2022-23,3122188378.02,314296585.9,77609527.25,339496116.07,10086769.04,-111787880.92,True,87.71,ITR_DOC_COMP_00028,2026-03-09 14:54:07.510236
CAM_00028,COMP_00028,AY2024-25,FY2023-24,3107668969.2,402016396.62,81214974.44,215808124.57,6741067.81,-6570722.7,False,88.43,ITR_DOC_COMP_00028,2026-03-09 14:54:07.510236
CAM_00029,COMP_00029,AY2022-23,FY2021-22,388631269.72,55979161.94,13255783.58,44969092.3,2008352.48,10615752.7,True,85.01,ITR_DOC_COMP_00029,2026-03-09 14:54:07.510236
CAM_00029,COMP_00029,AY2023-24,FY2022-23,386160857.8,37065682.22,7619759.42,29089942.82,1555775.01,-5106133.51,True,89.25,ITR_DOC_COMP_00029,2026-03-09 14:54:07.510236
CAM_00029,COMP_00029,AY2024-25,FY2023-24,362634203.57,44643210.53,10020811.46,21295253.27,1663675.51,1437235.74,False,95.34,ITR_DOC_COMP_00029,2026-03-09 14:54:07.510236
CAM_00030,COMP_00030,AY2022-23,FY2021-22,2766432862.24,488255755.24,108956848.33,261592967.67,9121514.94,0.0,False,85.87,ITR_DOC_COMP_00030,2026-03-09 14:54:07.510236
CAM_00030,COMP_00030,AY2023-24,FY2022-23,2877312320.39,517437976.93,117125185.79,207085095.12,19123966.43,0.0,False,90.35,ITR_DOC_COMP_00030,2026-03-09 14:54:07.510236
CAM_00030,COMP_00030,AY2024-25,FY2023-24,2533647460.02,502567492.64,113772240.28,269620432.65,10625086.64,0.0,False,85.87,ITR_DOC_COMP_00030,2026-03-09 14:54:07.510236
CAM_00031,COMP_00031,AY2022-23,FY2021-22,9958759456.69,1095552510.02,245806809.04,921326071.02,16148346.53,0.0,False,88.05,ITR_DOC_COMP_00031,2026-03-09 14:54:07.510236
CAM_00031,COMP_00031,AY2023-24,FY2022-23,10036657097.92,1033882950.87,255817146.12,681555849.9,13589764.05,0.0,False,98.04,ITR_DOC_COMP_00031,2026-03-09 14:54:07.510236
CAM_00031,COMP_00031,AY2024-25,FY2023-24,10280559113.8,1075000296.12,221367219.2,601004325.42,12936503.23,0.0,False,93.35,ITR_DOC_COMP_00031,2026-03-09 14:54:07.510236
CAM_00032,COMP_00032,AY2022-23,FY2021-22,6297698378.39,778575681.26,177991407.78,314202874.62,12918974.29,-42965984.35,False,94.86,ITR_DOC_COMP_00032,2026-03-09 14:54:07.510236
CAM_00032,COMP_00032,AY2023-24,FY2022-23,6519628017.26,855370034.37,209899105.14,708022673.68,19388874.72,0.0,False,95.83,ITR_DOC_COMP_00032,2026-03-09 14:54:07.510236
CAM_00032,COMP_00032,AY2024-25,FY2023-24,6742420836.24,724823112.4,150844313.79,471779646.05,30227113.29,0.0,False,85.12,ITR_DOC_COMP_00032,2026-03-09 14:54:07.510236
CAM_00033,COMP_00033,AY2022-23,FY2021-22,961393202.32,68653599.9,15546664.8,54663074.5,2147368.29,4629234.04,False,85.66,ITR_DOC_COMP_00033,2026-03-09 14:54:07.510236
CAM_00033,COMP_00033,AY2023-24,FY2022-23,963601521.68,68958808.59,14179264.3,71944083.96,1128306.95,0.0,False,98.19,ITR_DOC_COMP_00033,2026-03-09 14:54:07.510236
CAM_00033,COMP_00033,AY2024-25,FY2023-24,945847596.35,71852614.72,15014483.54,39241270.22,1983361.8,0.0,False,95.47,ITR_DOC_COMP_00033,2026-03-09 14:54:07.510236
CAM_00034,COMP_00034,AY2022-23,FY2021-22,4358684604.48,497338421.56,119993709.89,341221372.66,20787885.21,0.0,False,90.9,ITR_DOC_COMP_00034,2026-03-09 14:54:07.510236
CAM_00034,COMP_00034,AY2023-24,FY2022-23,4367894430.31,541704043.98,118629456.68,523978702.88,25227632.87,0.0,False,88.56,ITR_DOC_COMP_00034,2026-03-09 14:54:07.510236
CAM_00034,COMP_00034,AY2024-25,FY2023-24,4493419411.6,498025411.76,124076269.87,339580784.49,13142870.13,0.0,False,96.26,ITR_DOC_COMP_00034,2026-03-09 14:54:07.510236
CAM_00035,COMP_00035,AY2022-23,FY2021-22,2319131021.46,137047939.38,28475057.97,144871357.16,3096948.09,0.0,False,94.98,ITR_DOC_COMP_00035,2026-03-09 14:54:07.510236
CAM_00035,COMP_00035,AY2023-24,FY2022-23,2067884264.47,149055718.39,32511122.76,101486184.48,3981070.74,0.0,False,89.92,ITR_DOC_COMP_00035,2026-03-09 14:54:07.510236
CAM_00035,COMP_00035,AY2024-25,FY2023-24,1810950645.34,142400184.38,35352878.01,120737076.07,4007458.43,0.0,False,88.97,ITR_DOC_COMP_00035,2026-03-09 14:54:07.510236
CAM_00036,COMP_00036,AY2022-23,FY2021-22,2645209979.59,178810203.97,35973242.78,261478122.97,4542970.6,0.0,False,97.25,ITR_DOC_COMP_00036,2026-03-09 14:54:07.510236
CAM_00036,COMP_00036,AY2023-24,FY2022-23,2640704435.3,196277171.45,46429301.01,304172778.72,5481610.1,14261060.21,False,90.11,ITR_DOC_COMP_00036,2026-03-09 14:54:07.510236
CAM_00036,COMP_00036,AY2024-25,FY2023-24,2615401143.27,159653135.72,32042758.14,120581366.13,4064234.81,0.0,False,95.53,ITR_DOC_COMP_00036,2026-03-09 14:54:07.510236
CAM_00037,COMP_00037,AY2022-23,FY2021-22,940773695.2,120844544.94,24841651.26,75859621.07,3984734.75,-10437169.53,False,86.78,ITR_DOC_COMP_00037,2026-03-09 14:54:07.510236
CAM_00037,COMP_00037,AY2023-24,FY2022-23,960811956.54,103410214.2,20788195.21,86752321.69,1053418.63,-24341661.6,True,98.73,ITR_DOC_COMP_00037,2026-03-09 14:54:07.510236
CAM_00037,COMP_00037,AY2024-25,FY2023-24,946889339.2,100011175.79,23833080.59,92075639.96,2251461.63,-39091217.08,True,98.3,ITR_DOC_COMP_00037,2026-03-09 14:54:07.510236
CAM_00038,COMP_00038,AY2022-23,FY2021-22,491425751.8,47589325.5,10303849.89,39690443.2,2118083.43,-34289.13,False,87.26,ITR_DOC_COMP_00038,2026-03-09 14:54:07.510236
CAM_00038,COMP_00038,AY2023-24,FY2022-23,490982753.63,38103682.11,8497339.22,58216849.37,739605.43,-2924027.46,False,96.66,ITR_DOC_COMP_00038,2026-03-09 14:54:07.510236
CAM_00038,COMP_00038,AY2024-25,FY2023-24,476624714.21,43081582.39,8801866.36,55031297.65,1992904.64,-719168.47,False,95.87,ITR_DOC_COMP_00038,2026-03-09 14:54:07.510236
CAM_00039,COMP_00039,AY2022-23,FY2021-22,1590064617.86,273560327.13,58878063.52,126574555.67,19465075.88,55355557.05,True,89.32,ITR_DOC_COMP_00039,2026-03-09 14:54:07.510236
CAM_00039,COMP_00039,AY2023-24,FY2022-23,1727138449.52,214812342.62,46063806.03,186174817.78,24624561.08,21869585.5,True,85.59,ITR_DOC_COMP_00039,2026-03-09 14:54:07.510236
CAM_00039,COMP_00039,AY2024-25,FY2023-24,1742871143.01,216296339.35,48745978.18,200197371.69,17027379.78,34954334.1,True,90.49,ITR_DOC_COMP_00039,2026-03-09 14:54:07.510236
CAM_00040,COMP_00040,AY2022-23,FY2021-22,2780122511.98,176927440.06,40837581.3,131029427.12,2811956.84,0.0,False,85.0,ITR_DOC_COMP_00040,2026-03-09 14:54:07.510236
CAM_00040,COMP_00040,AY2023-24,FY2022-23,2924201242.64,163637776.47,37067500.02,226753769.89,1786470.97,-1235878.75,False,97.37,ITR_DOC_COMP_00040,2026-03-09 14:54:07.510236
CAM_00040,COMP_00040,AY2024-25,FY2023-24,2870678497.2,171379253.14,41146182.42,180899800.48,8483907.66,0.0,False,92.04,ITR_DOC_COMP_00040,2026-03-09 14:54:07.510236
CAM_00041,COMP_00041,AY2022-23,FY2021-22,3218360781.95,275098266.65,60523264.69,317704512.61,8264090.17,18349895.74,False,87.12,ITR_DOC_COMP_00041,2026-03-09 14:54:07.510236
CAM_00041,COMP_00041,AY2023-24,FY2022-23,3127825352.3,252581185.59,55394121.51,137681586.89,5271219.41,0.0,False,93.6,ITR_DOC_COMP_00041,2026-03-09 14:54:07.510236
CAM_00041,COMP_00041,AY2024-25,FY2023-24,3435099936.62,259339119.25,60335729.77,308588091.21,7254320.26,0.0,False,87.51,ITR_DOC_COMP_00041,2026-03-09 14:54:07.510236
CAM_00042,COMP_00042,AY2022-23,FY2021-22,9753016606.55,1229658910.21,301635652.77,538529343.94,15636384.34,141508684.13,True,97.63,ITR_DOC_COMP_00042,2026-03-09 14:54:07.510236
CAM_00042,COMP_00042,AY2023-24,FY2022-23,9003426836.74,852971749.3,209589141.1,958355374.45,32994921.0,-44667873.3,False,98.99,ITR_DOC_COMP_00042,2026-03-09 14:54:07.510236
CAM_00042,COMP_00042,AY2024-25,FY2023-24,9617721958.65,1091340275.17,272426278.57,770394054.22,31940195.34,958118.36,False,85.41,ITR_DOC_COMP_00042,2026-03-09 14:54:07.510236
CAM_00043,COMP_00043,AY2022-23,FY2021-22,9807884597.51,965568870.24,224922410.86,1005354298.24,45133729.57,-79375847.96,False,87.78,ITR_DOC_COMP_00043,2026-03-09 14:54:07.510236
CAM_00043,COMP_00043,AY2023-24,FY2022-23,9680837531.17,1036401969.65,228360883.72,401302891.62,46836422.16,0.0,False,87.75,ITR_DOC_COMP_00043,2026-03-09 14:54:07.510236
CAM_00043,COMP_00043,AY2024-25,FY2023-24,9821142283.85,927719117.65,228546788.88,800843292.45,20849170.45,0.0,False,85.42,ITR_DOC_COMP_00043,2026-03-09 14:54:07.510236
CAM_00044,COMP_00044,AY2022-23,FY2021-22,7662296022.71,1082514755.4,219996105.05,842043526.89,13910520.41,0.0,False,97.25,ITR_DOC_COMP_00044,2026-03-09 14:54:07.510236
CAM_00044,COMP_00044,AY2023-24,FY2022-23,10461254227.86,1078396047.44,269273504.47,1008950196.72,39949118.94,0.0,False,91.35,ITR_DOC_COMP_00044,2026-03-09 14:54:07.510236
CAM_00044,COMP_00044,AY2024-25,FY2023-24,8541352324.64,926946398.36,191179751.19,1011932802.9,10492924.14,0.0,False,98.95,ITR_DOC_COMP_00044,2026-03-09 14:54:07.510236
CAM_00045,COMP_00045,AY2022-23,FY2021-22,450019139.9,75409862.42,15749579.74,46986949.5,1388979.81,0.0,False,86.88,ITR_DOC_COMP_00045,2026-03-09 14:54:07.510236
CAM_00045,COMP_00045,AY2023-24,FY2022-23,453351319.03,74055351.08,15038167.91,22434338.33,1082222.72,0.0,False,89.66,ITR_DOC_COMP_00045,2026-03-09 14:54:07.510236
CAM_00045,COMP_00045,AY2024-25,FY2023-24,470949106.9,82856474.36,18396555.95,45603063.46,2300982.38,0.0,False,98.98,ITR_DOC_COMP_00045,2026-03-09 14:54:07.510236
CAM_00046,COMP_00046,AY2022-23,FY2021-22,8923361618.85,958836708.1,194456964.02,988251454.87,43197646.25,14948697.64,False,86.91,ITR_DOC_COMP_00046,2026-03-09 14:54:07.510236
